,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.03,0.75,0.44,0.91,0.26,0.49,0.7,0.8,0.47,0.35,0.09,0.91,0.08,0.64,0.32,0.69,0.32
encog-cs.csv,0.02,0.7,0.37,0.84,0.38,0.44,0.83,0.89,0.62,0.18,0.05,0.8,0.12,0.72,0.38,0.6,0.54
extprosys.csv,0.03,0.84,0.5,0.88,0.43,0.42,0.51,0.69,0.51,0.32,0.07,0.62,0.07,0.76,0.49,0.56,0.33
ibatisdb.csv,0.0,0.45,0.29,0.31,0.34,0.34,0.3,0.36,0.42,0.27,0.12,0.32,0.12,0.15,0.69,0.31,0.46
intact.csv,0.0,0.85,0.39,0.7,0.44,0.53,0.39,0.63,0.51,0.33,0.08,0.61,0.06,0.8,0.39,0.54,0.29
japano.csv,0.0,0.91,0.45,0.9,0.44,0.42,0.85,0.84,0.52,0.3,0.05,0.78,0.1,0.74,0.36,0.6,0.56
lockss.csv,0.08,0.42,0.15,0.04,0.34,0.19,0.41,0.5,0.3,0.43,0.13,0.13,0.17,0.46,0.34,0.42,0.21
ofbiz.csv,0.0,0.82,0.42,0.55,0.29,0.35,0.62,0.61,0.5,0.13,0.07,0.7,0.19,0.78,0.27,0.58,0.48
officefloor.csv,0.03,0.37,0.22,0.62,0.24,0.24,0.05,0.66,0.42,0.19,0.11,0.64,0.0,0.39,0.42,0.48,0.4
opennms.csv,0.0,0.56,0.13,0.26,0.51,0.25,0.69,0.36,0.38,0.3,0.11,0.21,0.12,0.59,0.33,0.36,0.17
papertoolkit.csv,0.0,0.33,0.25,0.44,0.13,0.37,0.14,0.39,0.41,0.2,0.04,0.37,0.4,0.39,0.12,0.46,0.29
rohxel.csv,0.04,0.39,0.42,0.27,0.21,0.32,0.78,0.63,0.31,0.25,0.07,0.66,0.0,0.27,0.19,0.28,0.0
sevenupdate.csv,0.02,0.85,0.44,0.94,0.37,0.45,0.88,0.97,0.52,0.27,0.05,0.96,0.11,0.78,0.41,0.69,0.55
web-cat.csv,0.03,0.62,0.36,0.78,0.35,0.45,0.8,0.6,0.53,0.22,0.06,0.83,0.13,0.73,0.5,0.63,0.71
xcf.csv,0.0,0.56,0.4,0.84,0.38,0.43,0.74,0.72,0.53,0.3,0.06,0.82,0.31,0.6,0.47,0.78,0.57
