,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.11,0.51,0.62,0.32,0.88,0.15,0.73,0.44,0.1,0.31,0.14,0.66
jaolt.csv,0.25,0.54,0.52,0.5,0.87,0.33,0.78,0.4,0.0,0.69,0.25,0.72
jcl.csv,0.13,0.73,0.34,0.37,0.86,0.19,0.77,0.3,0.25,0.48,0.2,0.68
kmess.csv,0.13,0.58,0.44,0.43,0.91,0.15,0.89,0.53,0.11,0.56,0.18,0.72
ossbuild.csv,0.0,0.54,0.46,0.4,0.88,0.33,0.78,0.57,0.45,0.38,0.38,0.67
qgo.csv,0.16,0.84,0.3,0.43,0.84,0.1,0.73,0.35,0.13,0.5,0.22,0.66
quark.csv,0.0,0.69,0.41,1.0,0.88,0.0,1.0,0.57,0.27,0.57,0.44,1.0
rezilla.csv,0.11,0.8,0.1,0.56,0.83,0.04,0.61,0.35,0.15,0.63,0.23,0.61
rhex.csv,0.32,0.55,0.38,0.67,0.9,0.03,0.69,0.41,0.13,0.65,0.19,0.74
toped.csv,0.09,0.48,0.4,0.32,1.0,0.15,0.75,0.43,0.13,0.31,0.2,0.66
truevision.csv,0.14,0.54,0.45,0.44,0.95,0.2,0.82,0.64,0.2,0.41,0.31,0.69
wxstudio.csv,0.18,0.67,0.25,1.0,0.57,0.03,0.74,0.26,0.2,0.69,0.0,0.53
