,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.77,0.91,0.07,0.74,0.84,0.77,0.49,0.98,0.93,0.83,0.59,0.67
dsworkbench.csv,0.06,0.85,0.78,0.98,0.94,0.47,0.73,0.63,0.7,0.81,0.7,0.81
gogoego.csv,0.66,0.06,0.94,0.65,0.95,1.03,0.81,0.74,0.65,0.74,0.83,0.92
jpaul.csv,0.72,0.75,0.86,0.0,0.76,0.79,0.73,1.0,0.6,0.83,1.0,1.0
loki-lib.csv,0.7,0.57,0.66,0.47,0.53,0.61,0.7,0.91,0.59,0.68,0.07,0.63
motu.csv,0.74,0.78,0.93,0.56,0.9,0.71,0.0,0.8,0.63,0.72,0.62,0.45
mp-rechnungs-und-kundenverwaltung.csv,0.76,0.72,0.83,0.89,1.0,0.57,0.77,0.81,0.06,0.76,0.89,0.72
rtrt-on-gpu.csv,0.77,0.78,0.93,0.99,0.79,0.69,0.98,0.1,0.81,0.73,0.82,0.43
scenemonitor.csv,0.75,0.63,0.63,0.74,0.0,0.52,0.59,0.87,0.81,0.56,0.72,0.53
xstore.csv,0.68,0.54,0.8,0.57,0.6,0.78,0.5,0.72,0.62,0.05,0.57,0.72
yarp0.csv,0.78,0.66,0.73,0.81,0.76,0.0,0.84,0.6,0.62,0.66,0.77,0.66
zemljanka.csv,0.88,0.93,0.93,0.98,1.0,0.62,0.87,0.96,0.97,0.9,0.64,0.0
