,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.75,0.91,0.07,0.73,0.78,0.76,0.3,0.9,0.93,0.8,0.54,0.22
dsworkbench.csv,0.06,0.68,0.57,0.78,0.41,0.29,0.5,0.19,0.54,0.49,0.57,0.78
gogoego.csv,0.06,0.0,0.07,0.05,0.09,0.24,0.41,0.23,0.21,0.17,0.46,0.89
jpaul.csv,0.25,0.2,0.14,0.0,0.09,0.24,0.24,0.0,0.27,0.2,0.0,0.0
loki-lib.csv,0.62,0.46,0.14,0.32,0.19,0.58,0.7,0.58,0.52,0.63,0.0,0.44
motu.csv,0.06,0.11,0.0,0.17,0.03,0.18,0.0,0.08,0.36,0.24,0.39,0.33
mp-rechnungs-und-kundenverwaltung.csv,0.25,0.4,0.21,0.1,0.03,0.26,0.02,0.12,0.0,0.51,0.78,0.11
rtrt-on-gpu.csv,0.56,0.47,0.86,0.44,0.38,0.29,0.7,0.02,0.59,0.49,0.5,0.33
scenemonitor.csv,0.75,0.57,0.21,0.68,0.0,0.42,0.57,0.71,0.8,0.41,0.59,0.44
xstore.csv,0.5,0.34,0.21,0.32,0.25,0.47,0.48,0.19,0.38,0.02,0.35,0.11
yarp0.csv,0.56,0.4,0.43,0.49,0.12,0.0,0.48,0.6,0.58,0.24,0.63,0.56
zemljanka.csv,0.88,0.93,0.93,0.98,1.0,0.61,0.87,0.96,0.97,0.9,0.33,0.0
