,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.0,2.0,6.0,62.0,3.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0
archive-crawler.csv,0.0,0.0,2.0,8.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0
blue-c.csv,0.0,2.0,34.0,62.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,24.0
dynalloy.csv,2.0,1.0,25.0,8.0,8.0,2.0,0.0,3.0,0.0,8.0,2.0,33.0
jcae.csv,0.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
kmatplot.csv,1.0,4.0,29.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,33.0
mscore.csv,0.0,1.0,42.0,22.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,9.0
nosleepsoftware.csv,1.0,142.0,87.0,9.0,78.0,54.0,0.0,3.0,0.0,0.0,50.0,181.0
openmalaria.csv,5.0,0.0,39.0,18.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,10.0
popeye-chess.csv,0.0,5.0,35.0,8.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0
riff-evolve.csv,0.0,0.0,27.0,62.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
virtuoso.csv,0.0,2.0,48.0,1.0,0.0,2.0,3.0,3.0,0.0,8.0,1.0,0.0
