,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.41,0.27,0.44,0.0,0.49,0.8,0.19,0.52,0.57,0.52,0.71,0.29
archive-crawler.csv,0.45,0.31,0.56,0.06,0.74,0.63,0.55,0.43,0.62,0.52,0.76,0.38
blue-c.csv,0.86,0.85,0.89,0.0,0.94,0.77,0.52,0.69,0.82,0.61,0.9,0.93
dynalloy.csv,0.76,0.75,0.56,0.06,0.77,0.47,0.43,0.71,0.68,0.7,0.76,0.48
jcae.csv,0.48,0.17,1.0,0.06,0.23,0.6,0.33,0.38,0.42,0.65,0.48,0.29
kmatplot.csv,0.86,0.35,0.89,0.94,0.03,0.83,0.39,0.36,0.34,0.61,0.57,0.95
mscore.csv,0.93,0.98,1.0,0.56,0.77,0.87,0.73,0.9,0.79,0.96,1.0,0.95
nosleepsoftware.csv,0.07,0.0,0.0,0.69,0.0,0.0,0.23,0.07,0.05,0.09,0.0,0.0
openmalaria.csv,0.76,0.62,1.0,0.69,0.66,0.77,0.78,0.74,0.73,0.7,0.76,0.69
popeye-chess.csv,0.55,0.37,0.67,0.5,0.63,0.6,0.66,0.52,0.77,0.7,0.9,0.55
riff-evolve.csv,0.69,0.44,0.89,0.0,0.66,0.37,0.41,0.33,0.68,0.43,0.62,0.83
virtuoso.csv,0.83,1.0,1.0,1.0,0.66,1.0,0.83,1.0,1.0,1.0,0.9,0.6
