,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.72,0.75,0.58,1.02,0.56,0.28,0.81,0.62,0.59,0.59,0.33,0.72
archive-crawler.csv,0.6,0.73,0.47,0.95,0.37,0.44,0.52,0.61,0.64,0.57,0.68,0.62
blue-c.csv,0.77,0.68,0.73,1.13,0.57,0.28,0.52,0.53,0.78,0.75,0.54,0.87
dynalloy.csv,0.85,0.36,0.66,1.08,0.78,0.55,0.72,0.85,0.6,0.74,0.61,0.83
jcae.csv,0.56,0.85,0.2,0.98,0.77,0.43,0.68,0.64,0.61,0.57,0.64,0.72
kmatplot.csv,0.29,0.76,0.66,0.96,0.97,0.74,0.66,0.67,0.7,0.59,0.63,1.0
mscore.csv,0.79,0.98,0.91,0.92,0.47,0.46,0.41,0.56,0.68,0.8,0.9,0.77
nosleepsoftware.csv,0.93,1.0,1.0,0.4,1.0,1.0,0.8,0.93,0.95,0.92,1.01,1.0
openmalaria.csv,0.57,0.72,0.85,0.79,0.39,0.46,0.51,0.34,0.61,0.66,0.77,0.71
popeye-chess.csv,0.54,0.68,0.74,0.7,0.41,0.47,0.48,0.52,0.5,0.58,0.71,0.65
riff-evolve.csv,0.51,0.58,0.72,1.06,0.41,0.63,0.6,0.68,0.4,0.68,0.58,0.57
virtuoso.csv,0.75,0.99,0.99,1.0,0.38,1.0,0.83,1.0,1.0,0.96,0.97,0.46
