,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.0,0.35,0.5,0.0,0.71,0.57,0.03,0.0,0.0,0.54,0.97,0.12,0.77,0.0,0.12,0.0
fontforge.csv,0.42,0.33,0.43,0.35,0.69,0.49,0.02,0.77,0.13,0.49,0.88,0.08,0.75,0.4,0.08,0.19
glas.csv,0.51,0.36,0.72,0.4,0.69,0.44,0.03,0.49,0.16,0.55,0.84,0.09,0.75,0.54,0.12,0.21
hannosset.csv,0.59,0.24,0.9,0.33,0.77,0.39,0.0,0.43,0.14,0.33,0.87,0.1,0.67,0.25,0.24,0.28
hatari.csv,0.42,0.37,0.62,0.34,0.7,0.48,0.02,0.42,0.14,0.51,0.95,0.09,0.72,0.42,0.09,0.23
jaolt.csv,0.54,0.33,0.71,0.36,0.66,0.53,0.05,0.49,0.22,0.5,0.94,0.08,0.79,0.45,0.05,0.36
ltp.csv,0.45,0.32,0.45,0.38,0.79,0.47,0.0,0.42,0.1,0.55,0.91,0.14,0.66,0.32,0.07,0.19
mia.csv,0.51,1.0,0.5,0.33,0.61,0.55,0.04,0.55,0.09,0.48,0.98,0.21,0.88,0.5,0.0,0.26
net-snmp.csv,0.57,0.43,0.64,0.36,0.63,0.39,0.05,0.44,0.15,0.48,0.82,0.13,0.7,0.43,0.1,0.16
opde.csv,0.45,0.32,0.45,0.5,0.72,0.41,0.07,0.45,0.16,0.0,0.94,0.09,0.72,0.62,0.05,0.22
oppna-program-hsatools.csv,0.51,0.43,0.53,0.36,0.75,0.55,0.02,0.42,0.15,0.49,0.96,0.09,0.76,0.4,0.19,0.18
powerfolder-.csv,0.47,0.58,0.49,0.35,0.71,0.34,0.05,0.5,0.15,0.42,0.82,0.09,0.83,0.47,0.2,0.19
qlc.csv,1.0,0.42,1.0,0.35,0.7,0.58,0.09,0.0,0.22,0.56,1.0,0.1,0.89,0.43,0.16,0.13
quantlib.csv,0.45,0.0,0.0,0.0,0.69,0.0,0.0,0.44,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.38
tcl.csv,0.42,0.23,0.41,0.32,0.73,0.44,0.0,0.0,0.19,0.6,0.83,0.05,0.73,0.45,0.0,0.19
