,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.47,0.35,0.44,0.44,0.41,0.35,0.41,0.35,0.4,0.38
bscwweasel.csv,0.68,0.93,0.53,0.86,0.65,0.47,0.77,0.83,0.44,0.44
cme.csv,0.8,0.67,0.5,0.0,0.0,0.86,0.0,0.0,0.8,0.83
fido.csv,0.65,0.95,0.0,0.0,0.0,0.77,0.83,0.94,0.0,0.0
japano.csv,0.52,0.55,0.55,0.4,0.5,0.52,0.6,0.32,0.5,0.84
joustsim.csv,0.67,0.56,0.58,0.6,0.52,0.52,0.62,0.38,0.67,0.35
log4net.csv,0.62,0.75,0.95,0.62,0.88,0.66,0.38,0.76,0.46,0.82
personalaccess.csv,0.95,0.38,0.54,0.37,0.84,0.38,0.88,0.53,0.5,0.42
rcp-company-uibindings.csv,0.62,0.59,0.46,0.73,0.46,0.46,0.53,0.64,0.43,0.42
unbvision.csv,0.72,0.49,0.64,0.44,0.53,0.48,0.39,0.84,0.39,0.39
