,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.05,0.0,0.0,0.05,0.04,0.03,0.11,0.05,0.0,0.06,0.03,0.02,0.06,0.4,0.02,0.0,0.04
botsnscouts.csv,0.26,0.91,0.33,0.29,0.59,0.42,0.98,0.92,0.22,0.75,0.31,0.1,0.48,0.64,0.61,0.48,0.45,0.0,0.15
bscwweasel.csv,0.21,0.01,0.48,0.13,0.24,0.2,0.33,0.24,0.11,0.14,0.0,0.42,0.89,0.17,0.22,0.26,0.2,0.0,0.19
bzbyte.csv,0.47,0.01,0.0,1.0,0.65,0.88,1.0,0.8,0.81,1.0,0.85,1.0,1.0,0.91,0.28,0.0,1.0,0.0,1.0
capcode.csv,0.73,0.01,0.62,0.03,0.59,0.76,0.31,0.27,0.33,0.49,0.69,0.5,0.68,0.84,0.33,0.59,0.6,1.0,0.26
emite.csv,0.16,0.88,0.05,0.32,0.29,0.23,0.4,0.62,0.26,0.32,0.69,0.21,0.47,0.07,0.5,0.52,0.38,0.0,0.26
fbmanager.csv,0.0,0.0,0.0,0.19,0.0,0.03,0.24,0.18,0.07,0.08,0.46,0.71,1.0,0.1,0.06,0.0,0.28,0.0,0.07
lcfizvtop.csv,0.37,0.0,0.52,0.19,0.65,0.27,0.73,0.46,0.59,0.78,0.69,0.31,0.1,0.31,0.22,0.68,0.42,0.0,0.15
mediaportal.csv,0.11,0.37,0.33,0.0,0.12,0.22,0.33,0.28,0.19,0.05,0.23,0.12,0.1,0.04,0.0,0.27,0.05,0.0,0.02
nodal.csv,0.47,0.0,0.14,0.29,0.76,0.46,0.67,0.23,0.19,0.21,0.08,0.52,0.26,0.31,0.11,0.54,0.22,0.0,0.07
paintown.csv,0.19,1.0,0.48,0.77,0.94,0.97,0.91,1.0,1.0,0.89,1.0,0.62,0.94,0.86,0.39,0.63,0.7,1.0,1.0
powerfolder.csv,0.18,0.75,0.1,0.35,0.53,0.51,0.49,0.56,0.07,0.3,0.15,0.23,0.21,0.09,0.33,0.19,0.08,0.0,0.35
retromenu.csv,0.0,0.0,0.0,0.13,0.06,0.08,0.27,0.28,0.04,0.16,0.0,0.04,0.05,0.03,0.06,0.16,0.08,0.0,0.02
smbopensoft.csv,0.93,0.19,0.9,0.39,0.65,0.6,0.84,0.34,0.89,0.43,1.0,0.46,0.85,0.83,0.78,0.88,0.8,1.0,0.2
sqlpower-library.csv,1.0,0.98,1.0,1.0,0.24,0.67,0.36,0.76,1.0,0.73,0.92,1.0,1.0,0.87,1.0,1.0,0.88,1.0,0.37
st-filteredstatistics.csv,0.63,0.97,0.86,0.9,0.94,0.77,0.96,0.85,0.63,1.0,0.08,0.79,0.63,0.99,0.61,0.93,0.7,1.0,0.98
triplea.csv,0.4,0.82,0.24,0.35,0.59,0.54,0.73,0.69,0.37,0.6,0.62,0.35,0.55,0.49,0.5,0.61,0.62,0.0,0.56
uface.csv,0.74,1.0,0.9,0.77,0.47,0.58,0.76,0.66,0.89,0.56,0.92,0.79,1.0,0.76,0.83,0.86,0.6,1.0,0.07
