,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.24,0.18,0.33,0.53,0.11,0.13,0.07,0.05,0.12,0.0
flylegacy.csv,0.64,0.39,0.71,0.59,0.64,0.83,0.64,0.79,0.96,0.52
jguard.csv,0.84,0.27,0.7,0.84,0.92,0.67,1.0,0.82,1.0,0.76
m-a-d-n-e-s-s.csv,0.2,0.03,0.25,0.16,0.08,0.0,0.0,0.13,0.68,0.0
mob-sen-plat.csv,0.76,0.79,0.81,0.33,0.58,0.57,0.57,0.51,0.84,0.56
raygina.csv,0.68,0.0,0.4,0.34,0.14,0.27,0.29,0.26,0.44,0.4
st-filteredstatistics.csv,1.0,0.52,0.89,0.87,0.78,0.57,1.0,0.87,0.88,1.0
upp-mirror.csv,0.36,0.09,0.83,0.83,0.7,0.67,0.21,0.28,0.84,0.12
wishmaster.csv,0.28,0.09,0.46,0.44,0.66,0.5,0.71,0.1,0.48,0.32
yarp.csv,0.32,0.03,0.43,0.09,0.0,0.33,0.21,0.08,0.28,0.56
