,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.0,0.26,0.2,0.65,0.81,0.36,0.66,0.3,0.09,0.21,0.19,0.71
crisscross.csv,0.99,0.23,0.37,0.7,0.71,0.28,0.66,0.35,0.09,0.21,0.24,0.74
gabel.csv,1.0,0.44,0.22,0.87,1.0,0.39,0.72,0.41,0.23,0.17,0.25,0.82
jguard.csv,0.98,0.23,0.19,0.6,0.7,0.19,0.67,0.57,0.09,0.2,0.2,0.78
jitterbit.csv,1.0,0.0,0.19,0.74,0.85,0.56,0.62,0.41,0.08,0.19,0.14,0.76
mycila.csv,0.98,0.19,0.17,0.59,0.75,0.16,0.62,0.39,0.15,0.22,0.44,0.78
nova.csv,0.98,0.52,0.19,0.7,0.68,0.25,0.68,0.52,0.14,0.17,0.2,0.79
ontomorphtab.csv,1.0,0.33,0.28,0.83,0.73,0.31,0.65,0.4,0.13,0.12,0.24,0.77
tmva.csv,1.0,0.37,0.17,0.65,0.7,0.2,0.69,0.35,0.09,0.19,0.2,0.87
vienna-add-in.csv,1.0,0.31,0.17,0.66,0.5,0.32,0.79,0.38,0.03,0.19,0.18,0.75
vrjuggler.csv,1.0,0.24,0.12,0.64,0.73,0.38,0.67,0.39,0.0,0.39,0.18,0.72
wpdev.csv,1.0,0.24,0.18,0.66,0.66,0.28,0.66,0.34,0.08,0.2,0.19,0.73
