,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.94,0.35,0.32,0.74,0.8,0.5,0.76,0.42,0.16,0.31,0.32,0.64
crisscross.csv,0.97,0.37,0.5,0.8,0.46,0.43,0.76,0.52,0.16,0.35,0.38,0.84
gabel.csv,0.45,0.36,0.34,0.69,0.27,0.39,0.47,0.35,0.37,0.09,0.37,0.58
jguard.csv,0.89,0.37,0.32,0.68,0.82,0.28,0.74,0.63,0.16,0.33,0.33,0.84
jitterbit.csv,0.79,0.0,0.29,0.65,0.39,0.61,0.6,0.42,0.15,0.23,0.23,0.64
mycila.csv,0.78,0.27,0.27,0.46,0.8,0.2,0.6,0.41,0.27,0.35,0.57,0.64
nova.csv,0.72,0.65,0.29,0.68,0.62,0.35,0.58,0.49,0.24,0.18,0.3,0.73
ontomorphtab.csv,0.79,0.45,0.37,0.77,0.71,0.43,0.68,0.51,0.23,0.15,0.38,0.69
tmva.csv,0.55,0.5,0.3,0.74,0.81,0.27,0.8,0.4,0.16,0.24,0.33,0.81
vienna-add-in.csv,0.61,0.43,0.27,0.68,0.21,0.45,0.77,0.43,0.05,0.26,0.28,0.65
vrjuggler.csv,0.89,0.27,0.16,0.68,0.54,0.44,0.73,0.46,0.0,0.51,0.26,0.49
wpdev.csv,1.0,0.36,0.27,0.8,0.55,0.44,0.78,0.5,0.15,0.31,0.32,0.85
