,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.53,0.47,0.69,1.0,0.83,0.77,0.94,0.87,1.0,0.81,0.65,0.69,0.53
bibletime.csv,0.89,0.61,0.64,0.46,0.65,0.65,0.55,0.62,0.58,0.58,0.63,0.67,0.52
boost.csv,0.51,0.56,0.62,0.41,0.78,0.57,0.48,0.44,0.52,0.6,0.57,0.55,0.52
codepurge.csv,0.56,0.65,0.67,0.54,0.64,0.68,0.68,0.75,0.56,0.61,0.67,0.34,0.77
etics.csv,0.31,0.7,0.61,0.54,0.85,0.67,0.62,0.71,0.57,0.4,0.84,0.76,0.43
gusanos.csv,0.54,0.78,0.84,0.82,0.85,0.63,0.54,0.92,0.35,0.87,0.49,0.75,0.6
kvs.csv,0.54,0.71,0.89,0.83,0.36,0.64,0.94,0.68,0.77,0.64,0.7,0.96,0.88
mcore3d.csv,0.77,0.65,0.53,0.61,0.81,0.57,0.9,0.77,0.53,0.62,0.49,0.6,0.57
modellus.csv,0.55,0.67,0.57,0.56,0.9,0.5,0.31,0.58,0.54,0.74,0.65,0.74,0.46
monetdb.csv,0.92,0.7,0.6,0.86,0.92,0.44,0.71,0.81,0.79,0.72,0.87,0.64,0.97
projecteqemu.csv,0.47,0.67,0.61,0.82,0.9,0.56,0.63,0.62,0.61,0.37,0.9,0.69,0.51
pydev.csv,0.42,0.63,0.75,0.67,0.68,0.53,0.81,0.74,0.69,0.64,0.44,0.65,0.51
xbplayer.csv,0.63,0.56,0.62,0.45,0.77,0.44,0.57,0.57,0.56,0.7,0.66,0.6,0.59
