,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.5,0.44,0.62,0.0,0.4,0.36,0.8,0.48,0.0,0.86,0.63,0.66,0.36
bibletime.csv,0.4,0.4,0.39,0.42,0.35,0.36,0.39,0.45,0.38,0.35,0.33,0.55,0.35
boost.csv,0.41,0.57,0.44,0.47,0.6,0.49,0.41,0.57,0.44,0.39,0.44,0.58,0.37
codepurge.csv,0.58,0.45,0.49,0.4,0.47,0.37,0.58,0.79,0.42,0.38,0.62,0.62,0.6
etics.csv,0.47,0.77,0.61,0.57,0.83,0.79,0.69,0.74,0.5,0.5,0.92,0.95,0.44
gusanos.csv,0.47,0.85,0.83,0.41,0.8,0.38,0.41,0.46,0.46,0.89,0.39,0.46,0.49
kvs.csv,0.53,0.71,0.94,0.66,0.59,0.66,0.93,0.56,0.58,0.53,0.36,0.5,0.93
mcore3d.csv,0.8,0.62,0.43,0.46,0.37,0.44,0.45,0.82,0.4,0.37,0.51,0.65,0.44
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.53,0.42,0.53,0.46,0.91,0.51,0.5,0.42
monetdb.csv,0.0,0.66,0.48,0.9,0.87,0.47,0.72,0.78,0.93,0.67,0.62,0.57,0.67
projecteqemu.csv,0.54,0.66,0.62,0.41,0.75,0.46,0.69,0.6,0.63,0.49,0.39,0.73,0.45
pydev.csv,0.48,0.58,0.72,0.56,0.42,0.48,0.93,0.69,0.52,0.37,0.43,0.65,0.38
xbplayer.csv,0.6,0.47,0.55,0.52,0.83,0.53,0.51,0.47,0.55,0.35,0.35,0.49,0.44
