,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.91,0.6,0.97,0.49,0.5,0.53,0.45,0.89,0.4,0.67,0.48,0.35,0.9,0.48,0.9
calcubetimer.csv,0.35,0.89,0.26,0.92,0.34,0.5,0.32,0.43,0.8,0.98,0.55,0.45,0.52,0.37,0.43
chaosrts.csv,0.65,0.67,0.26,0.51,0.39,0.5,0.42,0.44,0.39,0.67,0.82,0.8,0.49,0.31,0.96
emono.csv,0.44,0.76,0.97,0.51,0.45,0.53,0.45,0.46,0.31,0.43,0.54,0.35,0.44,0.33,0.53
freelords.csv,0.29,0.41,0.24,0.42,0.35,0.32,0.3,0.38,0.28,0.36,0.35,0.37,0.38,0.27,0.43
jmonkeyengine.csv,0.67,0.44,0.88,0.59,0.57,0.0,0.34,0.89,0.86,0.36,0.61,0.45,0.79,0.36,0.46
jython.csv,0.34,0.42,0.98,0.39,0.5,0.93,0.35,0.5,0.3,0.43,0.42,0.35,0.39,0.72,0.52
mclient-mume.csv,0.86,0.48,0.34,0.92,0.68,0.0,0.33,0.83,0.53,0.38,0.57,0.83,0.57,0.59,0.71
papertoolkit.csv,0.83,0.0,0.96,0.92,0.88,0.9,0.43,0.89,0.75,0.96,0.85,0.83,0.93,0.75,0.79
primefaces.csv,0.29,0.39,0.26,0.46,0.37,0.5,0.32,0.45,0.32,0.39,0.34,0.45,0.39,0.29,0.43
st-filteredstatistics.csv,0.36,0.38,0.26,0.42,0.36,0.46,0.31,0.48,0.33,0.41,0.39,0.33,0.38,0.32,0.43
toped.csv,0.32,0.59,0.26,0.55,0.44,0.71,0.39,0.42,0.29,0.6,0.42,0.38,0.39,0.32,0.55
triplea.csv,0.41,0.41,0.95,0.59,0.5,0.33,0.36,0.42,0.31,0.38,0.5,0.32,0.39,0.31,0.48
web-cat.csv,0.38,0.65,0.83,0.66,0.48,0.51,0.44,0.53,0.68,0.4,0.43,0.61,0.39,0.58,0.5
