,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.11,0.23,0.9,0.18,0.33,0.02,0.21,0.19,0.0,0.25,0.43
cubefs.csv,0.44,0.92,0.24,0.5,0.33,0.28,0.51,1.0,1.0,0.5,0.43
iaml.csv,0.59,0.23,0.71,0.64,0.0,0.37,1.0,0.39,0.0,0.55,0.77
ivataopenportal.csv,0.38,0.54,0.24,0.43,0.0,0.97,0.3,0.31,0.0,0.42,0.27
mb-unit.csv,0.79,0.62,0.9,1.0,0.33,0.83,0.57,0.6,0.0,0.78,0.88
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.38,1.0,0.57,0.38,0.0,0.35,0.46,0.57,0.0,0.57,0.47
olex2.csv,0.55,0.15,0.48,0.28,1.0,0.25,0.3,0.48,0.0,0.38,0.98
openwbem.csv,0.97,0.62,0.81,0.92,0.67,0.88,0.64,0.49,1.0,0.75,0.43
xcmetadataservicestoolkit.csv,0.8,0.46,0.95,0.84,1.0,0.98,0.75,0.78,1.0,0.95,0.92
