,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.13,0.27,0.92,0.21,0.38,0.02,0.25,0.22,0.0,0.29,0.47
cubefs.csv,0.48,0.65,0.28,0.51,0.27,0.32,0.5,1.0,0.84,0.53,0.45
iaml.csv,0.57,0.27,0.65,0.57,0.0,0.41,0.99,0.43,0.0,0.41,0.63
ivataopenportal.csv,0.41,0.53,0.28,0.46,0.0,0.98,0.33,0.35,0.0,0.43,0.31
mb-unit.csv,0.59,0.62,0.05,0.99,0.3,0.6,0.55,0.58,0.0,0.69,0.29
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.42,1.0,0.58,0.43,0.0,0.39,0.47,0.56,0.0,0.47,0.5
olex2.csv,0.56,0.18,0.51,0.32,0.96,0.29,0.34,0.5,0.0,0.4,0.98
openwbem.csv,0.98,0.59,0.66,0.17,0.52,0.46,0.52,0.5,0.75,0.69,0.45
xcmetadataservicestoolkit.csv,0.68,0.47,0.54,0.47,0.51,0.17,0.33,0.51,0.72,0.95,0.45
