,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.17,0.02,0.0,0.06,0.14,0.07,0.16,0.18,0.14,0.27,0.28
cubefs.csv,0.25,0.7,0.16,0.47,0.84,0.19,0.55,0.0,0.49,0.33,0.41
iaml.csv,0.51,0.02,0.52,0.61,0.38,0.3,0.03,0.32,0.61,0.8,0.63
ivataopenportal.csv,0.36,0.5,0.13,0.35,0.13,0.0,0.44,0.24,0.29,0.53,0.32
mb-unit.csv,0.71,0.36,0.99,0.03,0.78,0.72,0.5,0.5,0.81,0.53,0.92
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
nova.csv,0.25,0.0,0.39,0.17,0.38,0.33,0.46,0.47,0.47,0.73,0.34
olex2.csv,0.38,0.07,0.3,0.19,0.17,0.17,0.22,0.41,0.42,0.47,0.0
openwbem.csv,0.0,0.52,0.62,0.96,0.73,0.84,0.7,0.44,0.63,0.47,0.45
xcmetadataservicestoolkit.csv,0.58,0.48,0.8,0.83,0.83,0.96,0.9,0.79,0.66,0.07,0.85
