,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.71,0.57,0.52,0.6,0.64,0.88,0.93,0.71,0.75,0.76,0.86,0.7,0.7,0.9,0.71,0.79
arsenal-1.csv,0.4,0.45,0.89,0.52,0.34,0.49,0.39,0.43,0.76,0.53,0.91,0.44,0.63,0.77,0.74,0.47
bnetd.csv,0.32,0.31,0.37,0.37,0.35,0.29,0.49,0.42,0.39,0.4,0.42,0.5,0.37,0.44,0.48,0.41
cascading.csv,0.38,0.55,0.41,0.47,0.34,0.32,0.48,0.42,0.44,0.5,0.8,0.59,0.91,0.53,0.57,0.51
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.0
free-evolution.csv,0.86,0.42,0.83,0.39,0.37,0.8,0.67,0.81,0.77,0.9,0.38,0.81,0.34,0.95,0.67,0.92
gnome-jabber.csv,0.36,0.48,0.44,0.67,0.34,0.34,0.41,0.5,0.41,0.43,0.53,0.48,0.55,0.47,0.51,0.47
guineu.csv,0.67,0.6,0.83,0.75,0.4,0.86,0.93,0.96,0.95,0.71,0.68,0.95,0.8,0.89,0.81,0.94
ipfilter.csv,0.41,0.42,0.56,0.38,0.4,0.31,0.83,0.55,0.42,0.43,0.56,0.55,0.45,0.43,0.51,0.48
jruby.csv,0.38,0.39,0.53,0.4,0.37,0.33,0.53,0.5,0.45,0.42,0.33,0.51,0.33,0.5,0.48,0.49
l2j.csv,0.39,0.38,0.44,0.36,0.32,0.43,0.47,0.39,0.39,0.41,0.61,0.45,0.91,0.45,0.48,0.43
libmesh.csv,0.5,0.68,0.96,0.62,0.76,0.64,0.62,0.87,0.84,0.88,0.9,0.66,0.64,0.5,0.8,0.62
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
stajistics.csv,0.44,0.59,0.92,0.46,0.52,0.67,0.94,0.92,0.65,0.47,0.57,0.9,0.49,0.63,0.57,0.66
twostep.csv,0.38,0.36,0.68,0.41,0.38,0.39,0.5,0.52,0.48,0.48,0.6,0.56,0.62,0.54,0.4,0.45
x4x.csv,0.41,0.4,0.39,0.47,0.39,0.37,0.66,0.66,0.46,0.5,0.5,0.87,0.39,0.41,0.65,0.55
