,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.39,0.2,0.09,0.13,0.88,0.62,0.66,0.5,1.0,1.0,0.59,1.0,0.71
grafx2.csv,0.51,0.21,0.1,0.26,0.87,0.52,0.74,0.36,0.85,0.87,0.55,0.53,0.59
jahshakafx.csv,0.59,0.23,0.1,0.21,0.89,0.46,0.77,0.77,0.86,0.92,0.51,0.35,0.67
kftpgrabber.csv,0.56,0.24,0.0,0.17,0.95,0.44,0.86,0.69,0.86,1.0,0.59,0.5,0.79
kindb.csv,0.54,0.15,0.11,0.23,0.91,0.52,0.85,1.0,0.85,0.93,0.5,0.67,0.61
maya-work-in-progress.csv,0.38,0.18,0.11,0.28,0.86,0.36,0.74,0.36,0.64,0.82,0.45,0.36,0.55
netatalk.csv,0.35,0.13,0.06,0.13,0.86,0.39,0.45,0.43,0.78,0.78,0.36,0.47,0.55
nullc.csv,0.4,0.11,0.06,0.13,1.0,0.41,0.83,0.43,0.7,0.75,0.33,0.26,0.55
plee-the-bear.csv,0.51,0.2,0.16,0.17,0.74,0.28,0.57,0.36,0.5,0.72,0.45,0.3,0.48
reaper-ecad.csv,0.69,0.26,0.08,0.29,1.0,0.69,1.0,0.0,0.0,1.0,0.5,0.67,1.0
unimrcp.csv,0.49,0.16,0.1,0.17,0.92,0.44,0.52,0.49,0.88,0.84,0.48,0.53,0.53
unladen-swallow.csv,0.55,0.23,0.14,0.12,0.92,0.36,0.75,0.44,0.78,0.82,0.52,0.37,0.5
xmoto.csv,0.45,0.18,0.11,0.67,0.9,0.46,0.57,0.27,0.72,0.68,0.49,0.27,0.72
