,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.61,0.34,0.55,0.97,0.09,0.19,0.26,0.04,0.0,0.0,0.19,0.0,0.16
grafx2.csv,0.36,0.37,0.44,0.33,0.18,0.28,0.15,0.47,0.16,0.25,0.21,0.21,0.34
jahshakafx.csv,0.26,0.27,0.48,0.31,0.18,0.43,0.13,0.04,0.08,0.12,0.31,0.53,0.18
kftpgrabber.csv,0.25,0.13,0.03,0.03,0.09,0.31,0.02,0.07,0.05,0.0,0.29,0.16,0.07
kindb.csv,0.29,0.41,0.45,0.4,0.18,0.27,0.04,0.0,0.08,0.12,0.37,0.03,0.27
maya-work-in-progress.csv,0.63,0.33,0.43,0.16,0.64,0.6,0.19,0.58,0.55,0.31,0.42,0.55,0.5
netatalk.csv,0.72,0.8,0.79,0.99,0.36,0.58,0.74,0.23,0.24,0.56,0.6,0.24,0.43
nullc.csv,0.47,0.99,1.0,0.98,0.0,0.46,0.04,0.18,0.37,0.44,0.87,0.45,0.32
plee-the-bear.csv,0.36,0.23,0.25,0.06,1.0,0.82,0.4,0.57,0.74,0.56,0.45,0.68,0.52
reaper-ecad.csv,0.08,0.06,0.04,0.25,0.0,0.07,0.0,0.0,0.0,0.0,0.13,0.03,0.0
unimrcp.csv,0.4,0.55,0.45,0.69,0.18,0.43,0.43,0.28,0.08,0.31,0.4,0.18,0.41
unladen-swallow.csv,0.1,0.2,0.18,0.04,0.09,0.34,0.11,0.34,0.13,0.19,0.24,0.45,0.11
xmoto.csv,0.42,0.37,0.41,0.01,0.27,0.37,0.26,0.5,0.32,1.0,0.31,1.0,0.23
