,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.0,2.0,5.0,8.0,0.0,187.0,50.0,0.0,149.0,0.0
bibedt.csv,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0
cascading.csv,3.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
firebreath.csv,1.0,1.0,0.0,0.0,52.0,10.0,0.0,0.0,0.0,0.0
fritzing.csv,1.0,2.0,1.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0
httpcontentparser.csv,0.0,101.0,5.0,1.0,0.0,6.0,0.0,2.0,0.0,5.0
mpgravity.csv,1.0,1.0,0.0,5.0,0.0,18.0,2.0,0.0,0.0,1.0
patterntesting.csv,1.0,2.0,3.0,2.0,0.0,6.0,2.0,2.0,0.0,1.0
roller.csv,1.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0
xfce.csv,1.0,1.0,3.0,7.0,2.0,1.0,12.0,1.0,0.0,0.0
