,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.53,0.67,0.03,0.12,0.15,0.0,0.0,0.4,0.0,0.01
bibedt.csv,0.65,0.56,0.31,0.44,0.45,0.33,0.55,0.68,0.39,0.56
cascading.csv,0.63,0.69,0.54,0.52,0.29,0.26,0.4,0.5,0.78,0.62
firebreath.csv,0.65,0.27,0.62,0.58,0.0,0.24,0.39,0.63,0.73,0.71
fritzing.csv,0.72,0.62,0.53,0.61,0.4,0.2,0.1,0.74,0.56,0.68
httpcontentparser.csv,0.25,0.0,0.37,0.32,0.21,0.41,0.28,0.6,0.64,0.52
mpgravity.csv,0.67,0.47,0.59,0.6,0.67,0.23,0.34,0.8,0.84,0.77
patterntesting.csv,0.67,0.67,0.55,0.69,0.5,0.19,0.33,0.7,0.87,0.78
roller.csv,0.69,0.56,0.58,0.7,0.41,0.23,0.33,0.77,0.87,0.81
xfce.csv,0.64,0.59,0.55,0.59,0.37,0.29,0.31,0.73,0.83,0.72
