,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.75,0.62,0.17,0.0,0.19,0.66,0.34,0.18,0.8,0.48,0.35,0.76,0.3
empserver.csv,0.5,0.87,0.4,0.31,0.41,0.47,0.68,0.32,0.23,0.0,0.24,0.14,0.4
emulemorph.csv,0.25,0.0,0.0,0.12,0.4,0.07,0.18,0.0,0.46,0.0,0.23,0.12,0.25
google-web-toolkit.csv,0.45,0.2,0.52,0.54,0.5,0.48,0.27,0.41,0.39,0.67,0.6,0.6,0.01
htmlunit.csv,0.15,0.13,0.1,0.19,0.03,0.01,0.16,0.1,0.21,0.24,0.24,0.14,0.19
jaxen.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
jguard.csv,0.5,0.99,0.53,0.31,0.37,0.67,0.71,0.36,0.0,0.85,0.31,0.33,0.54
kowari.csv,0.02,0.0,0.1,0.13,0.12,0.01,0.0,0.16,0.0,0.03,0.0,0.0,0.05
maidsafe-dht.csv,0.08,0.02,0.0,0.16,0.02,0.04,0.1,0.21,0.25,0.06,0.21,0.45,0.11
mimosa.csv,0.8,0.82,0.73,0.67,0.71,0.78,0.62,0.59,0.38,0.58,0.68,0.0,0.54
vdsf.csv,0.85,0.0,0.93,0.83,0.9,0.97,0.88,0.93,0.98,1.0,0.92,0.98,0.9
xbrlapi.csv,0.0,0.97,0.38,0.3,0.29,0.56,0.62,0.39,0.27,0.73,0.6,0.19,0.42
