,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.67,0.21,0.08,1.0,0.0,0.32,0.11,0.08,0.44,0.51,0.11,0.43,0.32
empserver.csv,0.54,0.15,0.27,0.49,0.0,0.38,0.09,0.05,0.38,1.0,0.27,0.58,0.49
emulemorph.csv,0.18,0.0,0.13,0.11,0.0,0.04,0.0,1.0,0.35,0.0,0.0,0.0,0.37
google-web-toolkit.csv,0.6,0.12,0.27,0.31,0.0,0.51,0.2,0.08,0.38,0.49,0.17,0.65,0.99
htmlunit.csv,0.22,0.18,0.1,0.21,0.0,0.95,0.29,0.0,0.17,0.24,0.27,0.43,0.33
jaxen.csv,0.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.01
jguard.csv,0.57,0.16,0.23,0.43,0.0,0.43,0.12,0.09,0.97,0.62,0.12,0.59,0.54
kowari.csv,0.13,0.0,0.18,0.33,0.0,0.04,0.0,0.16,0.0,0.05,1.0,0.0,0.07
maidsafe-dht.csv,0.24,0.06,0.96,0.22,0.0,0.17,0.14,0.13,0.24,0.15,0.3,0.1,0.19
mimosa.csv,0.62,0.13,0.32,0.44,0.01,0.48,0.13,0.14,0.48,0.55,0.18,1.0,0.57
vdsf.csv,0.65,0.92,0.25,0.45,0.0,0.45,0.1,0.11,0.5,0.65,0.14,0.58,0.7
xbrlapi.csv,1.0,0.15,0.2,0.29,0.01,0.48,0.13,0.04,0.45,0.57,0.11,0.65,0.54
