,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.45,0.4,0.91,0.71,0.99,0.53,0.8,0.95,0.5,0.56,0.86,0.55,0.93
empserver.csv,0.42,0.3,0.63,0.51,0.6,0.52,0.47,0.74,0.7,0.53,0.7,0.75,0.58
emulemorph.csv,0.93,0.0,0.0,0.93,0.76,0.94,0.93,0.83,0.79,0.0,0.94,0.8,0.99
google-web-toolkit.csv,0.45,0.81,0.58,0.73,0.58,0.45,0.56,0.69,0.65,0.41,0.5,0.45,0.51
htmlunit.csv,0.92,0.96,0.86,0.65,0.93,0.59,0.62,0.9,0.75,0.79,0.57,0.72,0.8
jaxen.csv,0.5,0.75,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
jguard.csv,0.4,0.26,0.5,0.49,0.54,0.39,0.5,0.79,0.68,0.47,0.69,0.58,0.45
kowari.csv,0.75,0.0,0.88,0.88,0.98,0.75,0.0,0.84,0.0,0.5,0.86,0.0,0.94
maidsafe-dht.csv,0.89,0.96,0.85,0.65,0.89,0.94,0.89,0.58,0.65,0.8,0.65,0.64,0.97
mimosa.csv,0.38,0.32,0.49,0.61,0.38,0.38,0.47,0.58,0.49,0.57,0.36,0.55,0.42
vdsf.csv,0.42,0.99,0.42,0.6,0.38,0.39,0.46,0.44,0.4,0.42,0.38,0.38,0.43
xbrlapi.csv,0.52,0.27,0.74,0.57,0.79,0.46,0.56,0.71,0.64,0.5,0.44,0.67,0.57
