,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.74,0.29,0.19,0.15,0.69,0.74,0.2,0.93,0.65,0.15
ivatamasks.csv,0.79,0.6,0.69,0.98,0.53,0.05,0.62,0.61,0.73,0.35
orc.csv,0.11,0.01,1.0,0.09,0.69,0.88,0.57,0.11,0.62,0.04
plato.csv,1.0,0.96,0.81,0.79,0.71,1.0,0.88,0.86,0.96,0.79
rodin-b-sharp.csv,0.05,0.53,0.12,0.37,0.04,0.14,0.97,0.21,0.19,0.04
umber.csv,1.0,0.4,0.5,0.5,0.18,0.14,0.22,0.21,0.08,0.42
unicase.csv,0.89,0.89,0.88,0.86,0.37,0.64,0.83,0.68,0.99,0.75
uwom.csv,0.74,0.53,0.62,0.52,0.72,0.69,0.57,0.57,0.35,0.97
vienna-add-in.csv,0.89,0.77,0.56,0.89,0.98,0.71,0.48,0.57,0.5,0.4
wpdev.csv,1.0,1.0,0.94,1.0,1.0,1.0,0.99,1.0,1.0,0.99
