,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.84,0.0,0.07,0.0,0.95,1.0,0.1,0.0,0.88,0.13
ivatamasks.csv,0.44,0.0,0.51,0.0,0.59,0.12,0.6,0.44,0.55,0.26
orc.csv,0.84,0.0,0.0,0.15,0.95,1.0,0.45,0.08,0.88,0.02
plato.csv,0.89,1.0,0.9,0.81,0.63,0.0,0.76,0.83,0.91,0.81
rodin-b-sharp.csv,0.05,0.5,0.03,0.17,0.05,0.12,0.0,0.1,0.12,0.05
umber.csv,0.0,0.0,0.3,0.19,0.05,0.38,0.3,0.12,0.03,0.3
unicase.csv,0.45,0.0,0.59,0.91,0.24,0.5,0.54,0.54,0.03,0.74
uwom.csv,0.65,0.0,0.34,0.6,0.76,0.62,0.71,0.51,0.48,0.01
vienna-add-in.csv,0.33,1.0,0.78,0.87,0.0,0.5,0.37,0.53,0.52,0.65
wpdev.csv,1.0,0.0,0.79,1.0,1.0,1.0,0.9,0.79,0.9,0.92
