,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.38,0.65,0.92,0.93,0.42,0.49,0.98,0.96,0.5,0.99
ivatamasks.csv,0.46,0.42,0.48,0.44,0.47,0.67,0.44,0.58,0.37,0.67
orc.csv,0.48,0.0,0.94,0.94,0.43,0.44,0.65,0.93,0.51,0.94
plato.csv,0.34,0.41,0.32,0.5,0.55,0.45,0.46,0.47,0.41,0.49
rodin-b-sharp.csv,0.75,0.69,0.83,0.77,0.8,0.86,0.68,0.95,0.99,0.98
umber.csv,0.58,0.65,0.54,0.5,0.94,0.67,0.6,0.91,0.98,0.64
unicase.csv,0.43,0.39,0.41,0.46,0.76,0.52,0.49,0.49,0.44,0.43
uwom.csv,0.48,0.48,0.6,0.67,0.52,0.53,0.52,0.63,0.62,0.81
vienna-add-in.csv,0.51,0.39,0.35,0.45,0.53,0.5,0.67,0.59,0.55,0.54
wpdev.csv,0.34,0.39,0.33,0.43,0.4,0.42,0.4,0.42,0.39,0.39
