,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.88,0.71,0.82,0.85,1.0,1.03,0.81,0.07,0.95,0.86
ivatamasks.csv,0.48,0.4,0.6,0.02,0.75,0.96,0.71,0.59,0.61,0.7
orc.csv,1.22,0.99,0.0,0.92,1.0,1.01,0.63,0.9,0.96,0.96
plato.csv,0.89,1.0,0.92,0.84,0.7,0.0,0.77,0.84,0.91,0.83
rodin-b-sharp.csv,0.95,0.69,0.88,0.66,0.97,0.87,0.04,0.79,0.82,0.96
umber.csv,0.0,0.6,0.58,0.54,0.82,0.94,0.84,0.79,0.92,0.65
unicase.csv,0.47,0.11,0.61,0.93,0.67,0.61,0.57,0.63,0.03,0.78
uwom.csv,0.71,0.47,0.51,0.76,0.81,0.7,0.83,0.67,0.81,0.03
vienna-add-in.csv,0.34,1.03,0.89,0.88,0.02,0.58,0.64,0.68,0.72,0.88
wpdev.csv,1.0,0.0,0.8,1.0,1.0,1.0,0.9,0.79,0.9,0.92
