,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.23,1.0,0.23,1.0,0.59,0.79,0.52,1.0,0.66,0.25
ivatamasks.csv,0.38,1.0,0.13,1.0,0.65,0.67,0.37,0.22,0.78,0.28
orc.csv,0.04,1.0,1.0,0.56,0.59,0.82,0.42,0.21,0.65,0.41
plato.csv,0.28,0.99,0.09,0.67,0.69,1.0,0.4,0.18,0.74,0.22
rodin-b-sharp.csv,0.25,0.99,0.33,0.82,0.6,0.86,0.99,0.3,0.81,0.19
umber.csv,1.0,1.0,0.16,0.84,0.88,0.67,0.29,0.27,0.89,0.29
unicase.csv,0.4,1.0,0.14,0.66,0.76,0.87,0.47,0.21,0.99,0.22
uwom.csv,0.28,1.0,0.17,0.65,0.66,0.85,0.31,0.19,0.66,0.98
vienna-add-in.csv,0.49,0.98,0.08,0.68,1.0,0.88,0.43,0.18,0.72,0.15
wpdev.csv,0.26,1.0,0.12,0.68,0.67,0.84,0.39,0.21,0.74,0.23
