,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.35,0.45,0.21,0.27,0.64,0.77,0.29,0.96,0.66,0.19
ivatamasks.csv,0.52,0.75,0.22,0.99,0.58,0.09,0.46,0.32,0.75,0.31
orc.csv,0.06,0.01,1.0,0.16,0.64,0.85,0.48,0.14,0.64,0.07
plato.csv,0.44,0.97,0.17,0.72,0.7,1.0,0.55,0.29,0.83,0.34
rodin-b-sharp.csv,0.09,0.69,0.18,0.51,0.07,0.24,0.98,0.25,0.31,0.07
umber.csv,1.0,0.57,0.24,0.63,0.3,0.24,0.25,0.24,0.15,0.34
unicase.csv,0.56,0.94,0.25,0.75,0.5,0.74,0.6,0.32,0.99,0.34
uwom.csv,0.41,0.69,0.27,0.58,0.69,0.76,0.4,0.28,0.46,0.97
vienna-add-in.csv,0.63,0.86,0.13,0.77,0.99,0.79,0.45,0.28,0.59,0.22
wpdev.csv,0.41,1.0,0.21,0.81,0.8,0.91,0.55,0.34,0.85,0.38
