,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.43,0.34,0.23,0.18,0.19,0.0,0.24,0.94,0.35,0.18
ivatamasks.csv,0.73,0.65,0.64,0.98,0.5,0.06,0.56,0.6,0.65,0.39
orc.csv,0.12,0.01,1.0,0.11,0.19,0.0,0.57,0.13,0.34,0.05
plato.csv,0.38,0.0,0.33,0.48,0.6,1.0,0.57,0.47,0.33,0.48
rodin-b-sharp.csv,0.06,0.52,0.15,0.42,0.05,0.17,0.98,0.25,0.23,0.05
umber.csv,1.0,0.45,0.53,0.54,0.21,0.17,0.25,0.25,0.1,0.46
unicase.csv,0.79,0.91,0.72,0.32,0.41,0.61,0.71,0.62,0.99,0.54
uwom.csv,0.61,0.58,0.63,0.49,0.51,0.59,0.48,0.55,0.37,0.97
vienna-add-in.csv,0.84,0.0,0.43,0.41,0.98,0.65,0.5,0.55,0.5,0.39
wpdev.csv,0.0,1.0,0.55,0.0,0.0,0.0,0.36,0.57,0.36,0.3
