,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,167.0,280.5,177.0,1342.5,542.0,296.0,96.5,190.0,99.0,97.5,97.5,197.5,180.0,212.5,98.5,97.5,99.0,1147.5
bacula.csv,198.0,470.5,369.0,1539.0,728.0,197.5,96.5,289.0,96.5,489.5,97.5,197.5,195.0,624.5,98.5,97.5,99.0,95.5
blue-c.csv,198.0,567.0,88.5,78.5,546.0,198.0,96.5,99.0,189.0,292.5,97.5,533.0,97.5,717.0,98.5,97.5,198.0,95.5
enlightenment.csv,192.0,1137.5,196.5,1893.0,386.0,297.0,96.5,99.0,99.0,1280.0,97.5,197.5,196.0,452.5,98.5,97.5,198.0,194.0
fltk.csv,198.0,188.0,88.5,1162.5,632.5,296.0,96.5,194.5,358.0,195.0,97.5,197.5,196.0,349.0,98.5,97.5,198.0,95.5
freewrl.csv,99.0,921.0,183.0,69.5,183.0,297.0,96.5,99.0,99.0,97.5,97.5,197.5,196.0,1837.5,98.5,97.5,99.0,194.0
genecys.csv,297.0,1233.0,97.5,1719.0,193.0,296.0,93.5,582.5,99.0,1084.0,97.5,197.5,195.0,2120.5,98.5,97.5,99.0,194.0
genoviz.csv,94.5,79.5,85.5,61.5,261.5,97.5,96.5,76.5,86.5,85.5,95.5,137.0,96.5,170.0,9.5,85.5,5979.0,95.5
gzigzag.csv,192.0,668.0,180.0,246.5,274.5,98.5,96.5,95.5,99.0,95.5,97.5,447.5,97.5,455.5,98.5,97.5,3596.5,180.0
jparsec.csv,297.0,479.5,196.5,747.5,386.0,297.0,96.5,99.0,99.0,1084.0,94.5,0.0,196.0,2120.5,98.5,97.5,198.0,194.0
lportal.csv,99.0,91.5,46.5,40.5,84.5,197.5,0.0,69.5,179.0,97.5,97.5,0.0,97.5,177.0,55.5,364.0,2535.5,92.0
ogrehg.csv,293.0,476.0,180.0,246.5,269.5,197.5,96.5,94.5,99.0,97.5,97.5,437.5,196.0,539.0,98.5,97.5,99.0,95.5
patterntesting.csv,198.0,1042.5,196.5,346.0,1107.0,297.0,96.5,99.0,99.0,391.0,97.5,197.5,97.5,1365.0,98.5,97.5,198.0,194.0
pfaedit.csv,58.5,469.5,185.0,341.0,826.5,98.5,96.5,95.5,87.5,97.5,97.5,98.5,96.5,18.5,287.5,176.0,99.0,95.5
pgui.csv,583.5,82.5,0.0,1514.5,1019.5,0.0,96.5,390.5,0.0,0.0,97.5,197.5,94.5,168.0,98.5,97.5,0.0,194.0
roller.csv,682.5,755.5,97.5,434.5,927.0,297.0,96.5,99.0,99.0,985.5,97.5,533.0,97.5,262.5,191.0,97.5,198.0,194.0
sylpheed-claws.csv,193.0,1233.0,196.5,722.5,386.0,297.0,96.5,99.0,99.0,1280.0,97.5,197.5,196.0,916.0,98.5,97.5,198.0,194.0
xbg.csv,395.5,281.5,268.5,776.5,184.0,99.0,83.5,243.5,99.0,591.5,93.5,88.5,512.5,807.5,62.5,97.5,2828.0,285.5
