,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.77,0.83,0.22,0.46,0.82,0.45,0.62,0.49,0.27,0.89,0.6,0.94,0.16,0.72,0.32,0.64
betoffice.csv,0.81,0.79,0.2,0.34,0.81,0.28,0.61,0.55,0.16,0.92,0.49,0.92,0.1,0.71,0.28,0.68
bionote.csv,0.88,0.93,0.8,0.27,1.0,0.25,0.78,0.38,0.58,1.0,0.86,0.89,0.47,0.72,0.46,0.67
bnetd.csv,0.77,0.82,0.22,0.38,0.81,0.43,0.58,0.5,0.31,0.95,0.81,0.92,0.16,0.72,0.29,0.66
elvishrayrenderer.csv,0.79,0.79,1.0,0.45,0.93,0.64,0.56,0.5,0.4,0.91,0.92,0.9,0.23,0.88,0.51,0.87
emisview.csv,0.69,0.0,0.45,0.5,0.96,0.5,0.88,0.54,0.49,0.0,0.6,0.88,0.26,0.85,0.5,0.0
hazelcast.csv,0.78,0.88,0.4,0.38,1.0,0.32,0.61,0.54,0.28,0.94,0.66,0.93,0.15,0.81,0.37,0.68
jitterbit.csv,0.77,0.87,0.18,0.43,0.85,0.32,0.74,0.46,0.56,0.9,0.52,0.96,0.13,0.72,0.33,0.72
jppf-project.csv,0.72,0.77,0.21,0.22,0.82,0.18,0.67,0.51,0.21,0.9,0.43,0.99,0.1,0.7,0.32,0.55
l2j.csv,0.74,0.88,0.35,0.41,1.0,0.36,0.63,0.57,0.31,0.95,0.75,0.89,0.15,0.84,0.34,0.64
megasquirtavr.csv,0.77,0.82,0.53,0.31,0.84,0.29,0.65,0.49,0.33,0.93,0.53,0.92,0.1,0.71,0.29,0.62
stajistics.csv,0.78,0.77,0.0,0.31,0.96,0.31,0.61,0.5,0.21,0.92,0.38,0.92,0.14,0.75,0.44,0.66
trackit.csv,0.45,0.0,0.12,0.21,0.5,0.36,0.71,0.67,0.28,0.88,0.32,1.0,0.0,0.23,0.12,0.0
wxlua.csv,0.77,0.8,0.18,0.3,0.65,0.24,0.59,0.0,0.33,0.94,0.51,0.88,0.12,0.67,0.3,0.62
x4x.csv,0.89,0.8,0.21,0.34,0.79,0.31,0.63,0.52,0.25,0.94,0.56,0.91,0.08,0.72,0.25,0.69
xharbour.csv,0.77,0.97,0.28,0.37,0.94,0.32,0.72,0.47,0.32,0.92,0.49,0.88,0.22,0.75,0.37,0.75
