,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.4,0.18,0.35,0.37,0.33,0.21,0.34,0.29,0.41,0.32,0.16,0.39,0.24,0.47,0.35,0.34,0.37,0.34
fontforge.csv,0.36,0.25,0.4,0.37,0.33,0.21,0.34,0.2,0.36,0.37,0.25,0.37,0.23,0.37,0.36,0.37,0.35,0.33
glas.csv,0.34,0.25,0.17,0.17,0.29,0.27,0.26,0.2,0.23,0.22,0.23,0.23,0.25,0.27,0.24,0.25,0.24,0.22
gmerlin.csv,0.4,0.28,0.22,0.3,0.33,0.23,0.34,0.29,0.25,0.37,0.28,0.21,0.33,0.25,0.36,0.37,0.17,0.19
hannosset.csv,0.37,0.27,0.29,0.31,0.33,0.27,0.25,0.24,0.39,0.32,0.24,0.21,0.28,0.29,0.25,0.16,0.37,0.27
hatari.csv,0.33,0.28,0.25,0.27,0.32,0.27,0.32,0.25,0.41,0.29,0.28,0.39,0.33,0.43,0.33,0.37,0.26,0.29
jaolt.csv,0.21,0.18,0.12,0.19,0.23,0.14,0.15,0.18,0.2,0.18,0.29,0.27,0.27,0.29,0.17,0.34,0.18,0.16
jcl.csv,0.36,0.19,0.32,0.2,0.3,0.23,0.3,0.22,0.32,0.27,0.24,0.15,0.22,0.35,0.27,0.17,0.21,0.31
ltp.csv,0.26,0.27,0.4,0.36,0.32,0.28,0.34,0.25,0.38,0.33,0.35,0.35,0.34,0.32,0.37,0.37,0.33,0.34
mia.csv,0.22,0.27,0.2,0.3,0.23,0.15,0.26,0.22,0.32,0.33,0.18,0.18,0.15,0.36,0.33,0.14,0.18,0.19
net-snmp.csv,0.26,0.25,0.23,0.27,0.29,0.35,0.3,0.29,0.38,0.25,0.36,0.36,0.3,0.4,0.21,0.21,0.26,0.19
opde.csv,0.4,0.21,0.42,0.24,0.33,0.25,0.26,0.24,0.37,0.37,0.22,0.4,0.25,0.33,0.33,0.37,0.2,0.24
oppna-program-hsatools.csv,0.28,0.18,0.28,0.37,0.31,0.18,0.36,0.24,0.38,0.33,0.32,0.4,0.25,0.14,0.19,0.22,0.23,0.29
powerfolder-.csv,0.25,0.19,0.2,0.24,0.21,0.23,0.17,0.18,0.2,0.23,0.33,0.37,0.24,0.28,0.17,0.29,0.2,0.19
qlc.csv,0.4,0.21,0.42,0.23,0.15,0.17,0.23,0.29,0.17,0.2,0.16,0.24,0.18,0.14,0.19,0.16,0.37,0.18
quantlib.csv,0.4,0.31,0.4,0.37,0.33,0.36,0.36,0.29,0.41,0.37,0.39,0.4,0.35,0.47,0.37,0.37,0.37,0.24
tcl.csv,0.33,0.31,0.4,0.36,0.33,0.36,0.36,0.29,0.4,0.27,0.39,0.4,0.35,0.47,0.37,0.37,0.28,0.35
