,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.61,0.78,0.75,0.37,0.59,0.58,0.5,0.78,0.59,0.52
bscwweasel.csv,0.39,0.93,0.37,0.79,0.78,0.62,0.84,1.0,0.32,0.91
cme.csv,0.95,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.98,0.02
fido.csv,0.84,0.86,1.0,1.0,1.0,0.72,0.82,0.13,1.0,1.0
japano.csv,1.01,0.51,0.88,0.9,1.01,0.89,0.71,1.0,0.93,1.09
joustsim.csv,0.69,0.74,0.89,0.64,0.95,0.67,0.21,0.7,0.68,0.67
log4net.csv,0.74,0.81,0.11,0.74,0.97,0.7,0.39,1.02,0.93,0.84
personalaccess.csv,0.58,0.73,0.6,0.39,0.69,0.34,0.65,0.86,0.61,0.52
rcp-company-uibindings.csv,0.5,0.78,0.52,0.54,0.81,0.58,0.68,0.55,0.14,0.38
unbvision.csv,0.62,0.69,0.54,0.5,0.36,0.63,0.47,1.02,0.67,0.92
