,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.55,0.59,0.33,0.7,0.63,0.85,0.82,1.0,0.44,1.0
bscwweasel.csv,0.7,0.08,1.0,0.22,0.47,0.5,0.18,0.0,0.88,0.2
cme.csv,0.05,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.02,1.0
fido.csv,0.2,0.14,0.0,0.0,0.0,0.29,0.18,1.0,0.0,0.0
japano.csv,0.4,0.76,0.67,0.7,0.7,0.62,0.55,1.0,0.78,0.0
joustsim.csv,0.75,0.68,0.33,0.48,0.67,0.54,0.82,1.0,0.32,0.8
log4net.csv,0.3,0.19,1.0,0.3,0.03,0.31,0.73,0.0,0.52,0.2
personalaccess.csv,0.5,0.7,1.0,0.7,0.6,0.8,0.36,0.75,0.46,0.8
rcp-company-uibindings.csv,0.55,0.25,0.67,0.48,0.77,0.51,0.36,0.5,0.86,1.0
unbvision.csv,0.4,0.34,0.67,0.63,0.8,0.44,0.64,0.0,0.71,1.0
