,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.38,0.79,0.43,0.4,0.32,0.45,0.59,0.28,0.17,0.51,0.0
elateportal.csv,0.47,0.31,0.69,0.15,0.82,0.26,0.39,0.36,1.0,0.77,0.0
etics.csv,0.09,0.14,0.17,0.1,0.22,0.02,0.03,0.08,0.5,0.1,0.0
lockss.csv,0.17,0.47,0.33,0.2,0.46,0.35,0.57,0.48,0.67,0.94,0.0
pcgen.csv,0.64,1.0,0.93,0.2,0.97,0.26,0.82,0.12,0.67,0.99,0.5
personalaccess.csv,0.04,0.2,0.05,0.42,0.22,0.52,0.42,0.28,0.67,0.7,0.0
pydev.csv,0.23,0.6,0.29,0.11,0.51,0.39,0.8,0.32,1.0,0.3,0.17
rhex.csv,0.26,0.34,0.0,0.32,0.29,0.77,0.17,0.56,0.17,0.49,0.67
stuproa-cims.csv,0.01,0.09,0.0,0.16,0.09,0.08,0.16,0.04,0.33,0.29,0.0
uclmda.csv,0.14,0.03,0.21,0.04,0.13,0.01,0.07,0.16,0.0,0.13,0.17
wgs-assembler.csv,0.57,0.33,0.33,0.53,0.51,0.84,0.66,0.4,0.5,0.78,0.17
