,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.16,0.35,0.14,0.33,0.31,0.2,0.21,0.89,0.0,0.36,1.0
elateportal.csv,0.16,0.33,0.15,0.65,0.15,0.23,0.34,0.78,0.96,0.29,1.0
etics.csv,0.3,0.44,0.59,0.72,0.29,0.0,0.6,0.93,0.25,0.46,1.0
lockss.csv,0.26,0.41,0.33,0.66,0.21,0.29,0.24,0.89,0.97,0.34,1.0
pcgen.csv,0.09,0.35,0.22,0.69,0.18,0.27,0.26,0.91,0.98,0.33,0.93
personalaccess.csv,0.5,0.46,0.71,0.57,0.32,0.27,0.22,0.93,0.95,0.36,1.0
pydev.csv,0.21,0.37,0.43,0.55,0.24,0.2,0.25,0.89,0.76,0.55,0.75
rhex.csv,0.34,0.44,0.0,0.47,0.13,0.2,0.29,0.82,0.99,0.36,0.43
stuproa-cims.csv,0.67,0.25,0.0,0.7,0.14,0.3,0.55,0.94,0.98,0.44,1.0
uclmda.csv,0.15,0.33,0.1,0.57,0.0,0.0,0.09,0.67,1.0,0.1,0.67
wgs-assembler.csv,0.15,0.52,0.36,0.5,0.24,0.2,0.28,0.9,0.97,0.38,0.83
