,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.5,0.77,0.23,0.29,0.71,0.45,0.44,0.45,0.0,0.56,0.02
elateportal.csv,0.58,0.28,0.38,0.4,0.71,0.32,0.56,0.25,1.0,0.61,0.95
etics.csv,0.25,0.21,0.77,0.38,0.43,0.0,0.11,0.22,0.01,0.17,0.05
lockss.csv,0.42,0.59,0.54,0.56,0.57,0.59,0.49,0.78,0.82,0.94,0.14
pcgen.csv,0.42,0.97,0.85,0.65,1.0,0.41,0.8,0.26,0.99,0.92,0.91
personalaccess.csv,0.25,0.31,0.38,0.82,0.5,0.82,0.33,0.78,0.47,0.75,0.09
pydev.csv,0.42,0.64,0.69,0.2,0.79,0.41,0.71,0.53,0.12,0.72,0.07
rhex.csv,0.92,0.49,0.0,0.42,0.21,0.82,0.18,0.5,0.75,0.53,0.07
stuproa-cims.csv,0.17,0.05,0.0,0.55,0.07,0.14,0.53,0.12,0.5,0.44,0.07
uclmda.csv,0.17,0.03,0.08,0.07,0.0,0.0,0.02,0.07,0.99,0.03,0.05
wgs-assembler.csv,0.67,0.64,0.62,0.78,0.79,0.86,0.71,0.72,0.56,0.92,0.11
