,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.7,0.38,0.71,0.94,0.47,0.61,0.52,0.61,0.0,0.55,0.0
elateportal.csv,0.51,0.7,0.62,0.71,0.48,0.58,0.52,0.93,0.26,0.43,0.31
etics.csv,0.9,0.94,0.47,0.66,0.57,0.5,0.9,0.83,0.75,0.92,0.5
lockss.csv,0.58,0.38,0.52,0.43,0.41,0.4,0.41,0.4,0.28,0.35,0.83
pcgen.csv,0.58,0.32,0.42,0.44,0.45,0.55,0.41,0.69,0.27,0.37,0.33
personalaccess.csv,0.83,0.69,0.86,0.37,0.45,0.39,0.57,0.37,0.48,0.39,0.75
pydev.csv,0.58,0.36,0.48,0.95,0.37,0.69,0.4,0.45,0.96,0.47,0.75
rhex.csv,0.53,0.47,0.0,0.67,0.65,0.48,0.97,0.55,0.35,0.58,0.86
stuproa-cims.csv,0.67,0.88,0.0,0.49,0.86,0.9,0.81,0.94,0.46,0.56,0.67
uclmda.csv,0.92,0.67,0.9,0.86,0.89,0.0,0.91,0.92,0.27,0.9,0.67
wgs-assembler.csv,0.48,0.46,0.5,0.41,0.41,0.45,0.4,0.38,0.42,0.38,0.83
