,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,guineu.csv
atunes.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
avifile.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
baadengine.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
elmo.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
encog-java.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
flylinkdc.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
google-collections.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
gtad.csv,0.22,,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
guineu.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,
h2database.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
jahshaka.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
jahshakafx.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
jaql.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,,0.19
jedit.csv,0.22,0.21,0.15,0.22,0.2,,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
jmoney.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
ktc.csv,0.22,0.21,0.15,0.22,,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
lamp.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
logicmail.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
neoengine.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
net-snmp.csv,0.22,0.21,0.15,0.22,0.2,0.16,,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
openwbem.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,,0.18,0.18,0.19
owlib.csv,0.22,0.21,0.15,,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
paintown.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
plearn.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,,0.19,0.22,0.15,0.18,0.18,0.19
prelude.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
qgo.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,0.2,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,,0.18,0.19
qpe.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.2,0.2,0.19,0.21,0.23,,0.24,0.28,0.22,0.18,0.17,0.25,0.17,0.22,0.18,0.19,0.22,0.15,0.18,0.18,0.19
