,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.25,0.55,0.47,0.48,0.61,0.51,0.79,0.53,0.42,0.51,0.42,0.57,0.41,0.67
elateportal.csv,0.95,0.48,0.5,0.45,0.41,0.83,0.87,0.47,0.81,0.43,0.93,0.58,0.34,0.31
gdis.csv,0.95,0.55,0.44,0.42,0.76,0.48,0.82,0.75,0.53,0.67,0.35,0.55,0.52,0.83
gzigzag.csv,0.24,0.62,0.5,0.67,0.43,0.59,0.69,0.43,0.69,0.52,0.42,0.5,0.36,0.38
icescrum.csv,0.96,0.49,0.48,0.47,0.42,0.56,0.83,0.49,0.67,0.47,0.35,0.63,0.5,0.75
jguard.csv,0.26,0.39,0.42,0.38,0.59,0.49,0.55,0.67,0.41,0.45,0.35,0.44,0.34,0.31
jitterbit.csv,0.9,0.63,0.5,0.47,0.46,0.61,0.67,0.88,0.41,0.47,0.47,0.76,0.36,0.8
jython.csv,0.98,0.54,0.67,0.67,0.78,0.67,0.99,0.92,0.62,0.54,0.84,0.74,0.89,0.5
personalaccess.csv,0.24,0.79,0.44,0.71,0.4,0.75,0.41,0.88,0.37,0.0,0.71,0.89,0.38,0.75
ppcboot.csv,0.26,0.38,0.38,0.42,0.41,0.48,0.84,0.44,0.39,0.39,0.38,0.49,0.33,0.31
repositorium.csv,0.91,0.94,0.88,0.0,0.56,0.95,0.67,0.58,0.0,0.75,0.88,0.81,0.92,0.0
unbvision.csv,0.24,0.45,0.68,0.8,0.48,0.53,0.42,0.37,0.41,0.88,0.32,0.54,0.56,0.75
wxstudio.csv,0.31,0.51,0.89,0.6,0.59,0.8,0.59,0.54,0.65,0.83,0.6,0.47,0.53,0.31
xbg.csv,0.96,0.93,0.96,0.8,0.94,0.97,0.86,0.5,0.9,0.68,0.86,0.94,0.83,0.75
