,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.5,0.61,0.22,0.0,0.58,0.65,0.51,0.41,0.58,0.72,0.56,0.68,0.0,0.74,0.65,0.79,0.66,0.56,0.71,0.48
blogentis.csv,0.49,0.49,0.43,0.41,0.0,0.57,0.63,0.4,0.12,0.76,0.6,0.31,0.17,0.6,0.41,0.59,0.5,0.11,0.42,0.48
free-evolution.csv,0.84,0.0,0.43,0.61,0.36,0.54,0.48,0.49,0.52,0.68,0.68,0.78,0.17,0.56,0.5,0.79,0.31,0.83,0.73,0.62
gtad.csv,0.95,0.63,0.28,0.07,0.17,0.5,0.6,0.07,0.12,0.91,0.34,0.47,0.55,0.23,0.54,0.66,0.44,0.52,0.34,0.28
htmlunit.csv,0.86,0.5,0.28,0.63,0.38,0.49,0.51,0.22,0.44,0.81,0.6,0.72,0.0,0.4,0.59,0.81,0.5,0.48,0.64,0.4
ipfire-wall.csv,0.55,0.5,0.79,0.0,0.36,0.11,0.56,0.1,0.23,0.0,0.41,0.23,0.54,0.37,0.81,0.82,0.32,0.42,0.0,0.11
irplus.csv,0.84,0.55,0.28,0.65,0.49,0.58,0.61,0.28,0.12,0.97,0.74,0.73,0.0,0.55,0.79,0.87,0.65,0.73,0.73,0.43
jasperreports.csv,0.51,0.51,0.54,0.65,0.0,0.11,0.29,0.7,0.34,0.94,0.27,0.51,0.81,0.56,0.68,0.94,0.42,0.71,0.63,0.47
jaxlib.csv,0.54,0.16,0.29,0.55,0.15,0.75,0.48,0.6,0.23,0.0,0.29,0.36,0.99,0.27,0.52,0.35,0.59,0.47,0.28,0.54
jvcl.csv,0.54,0.12,0.55,0.53,0.26,0.31,0.66,0.07,0.7,0.0,0.25,0.42,0.53,0.23,0.48,0.45,0.32,0.4,0.65,0.32
kaffeine.csv,0.36,0.35,0.27,0.0,0.84,0.76,0.61,0.54,0.29,0.75,0.69,0.67,0.09,0.65,0.21,0.74,0.59,0.76,0.58,0.62
m-m-m.csv,0.84,0.5,0.66,0.4,0.56,0.52,0.31,0.82,0.43,0.13,0.44,0.17,0.41,0.53,0.69,0.27,0.63,0.24,0.58,0.57
myfaces.csv,0.73,0.6,0.24,0.63,0.19,0.57,0.55,0.29,0.12,0.0,0.61,0.7,0.75,0.17,0.69,0.81,0.51,0.73,0.46,0.34
nh3d.csv,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.67,0.0,0.0,0.71,0.0,0.05,0.0,0.0
poormans.csv,0.0,0.1,0.28,0.29,0.17,0.5,0.29,0.25,0.34,0.99,0.57,0.7,0.17,0.17,0.0,0.84,0.19,0.32,0.76,0.07
sarasvati.csv,0.52,0.32,0.5,0.35,0.17,0.8,0.24,0.33,0.12,0.93,0.46,0.61,0.87,0.51,0.52,0.67,0.63,0.73,0.21,0.43
smartgwt.csv,0.76,0.52,0.29,0.7,0.6,0.39,0.45,0.44,0.34,0.94,0.52,0.59,0.53,0.51,0.73,0.54,0.28,0.77,0.62,0.48
taokgame.csv,0.55,0.0,0.0,0.29,0.12,0.11,0.33,0.12,0.9,0.0,0.18,0.36,0.0,0.41,0.47,0.35,0.19,0.23,0.43,0.25
wgs-assembler.csv,0.92,0.52,0.54,0.43,0.32,0.58,0.65,0.1,0.77,0.68,0.46,0.59,0.8,0.58,0.42,0.71,0.53,0.45,0.57,0.45
