,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.42,0.37,0.47,0.25,0.66,1.0,0.0,0.56,0.09,0.48,0.92,0.13,0.77,0.4,0.15,0.14
fontforge.csv,0.43,0.35,0.48,0.29,0.68,0.35,0.04,1.0,0.18,0.53,0.88,0.08,0.8,0.48,0.08,0.16
glas.csv,0.5,0.37,0.71,0.21,0.65,0.5,0.0,0.46,0.2,0.55,0.92,0.1,0.82,1.0,0.07,0.32
hannosset.csv,0.6,0.0,1.0,0.0,0.74,0.25,0.0,0.0,0.0,0.0,0.83,0.0,1.0,0.0,1.0,0.17
hatari.csv,0.47,0.43,1.0,0.4,0.75,0.52,0.07,0.42,0.2,0.46,0.97,0.08,0.83,0.35,0.17,0.23
jaolt.csv,0.48,0.37,0.74,0.44,0.7,0.43,0.0,0.45,0.17,0.48,0.92,0.09,0.99,0.47,0.11,0.24
ltp.csv,0.25,0.3,0.57,0.64,0.99,0.14,0.0,0.67,0.09,1.0,1.0,0.06,0.62,1.0,0.0,0.33
mia.csv,0.33,0.42,0.41,0.14,0.0,0.34,0.0,0.67,0.28,0.44,0.81,1.0,0.74,0.0,0.0,0.19
net-snmp.csv,1.0,0.45,0.67,0.39,0.7,0.53,0.09,0.41,0.14,0.41,0.84,0.12,0.79,0.41,0.07,0.24
opde.csv,0.52,0.38,0.58,0.96,0.74,0.4,0.0,0.47,0.17,0.55,0.82,0.08,0.67,0.28,0.09,0.11
oppna-program-hsatools.csv,0.48,0.33,0.45,0.36,0.69,0.44,0.02,0.44,0.13,0.49,0.99,0.09,0.72,0.42,0.05,0.21
powerfolder-.csv,1.0,1.0,0.0,0.43,0.37,0.38,1.0,1.0,0.27,0.64,0.76,0.56,0.91,0.0,0.0,0.25
qlc.csv,0.4,0.42,0.33,0.0,0.25,0.29,0.0,0.4,1.0,0.51,0.56,0.12,1.0,1.0,0.07,0.2
quantlib.csv,0.67,0.27,0.6,0.24,0.74,0.38,0.0,0.33,0.18,0.0,0.81,0.13,0.66,0.5,0.0,1.0
tcl.csv,0.32,0.18,0.43,0.19,0.58,0.32,0.0,0.5,0.07,0.97,0.74,0.06,0.6,0.35,0.0,0.12
