,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.09,0.0,0.0,0.53,0.11,0.58
nsis.csv,0.97,0.0,0.95,0.7,0.89,0.43
papertoolkit.csv,0.03,0.0,0.04,0.0,0.0,0.03
plearn.csv,0.01,0.0,0.71,0.58,0.63,0.1
qdvdauthor.csv,0.65,0.29,0.47,0.07,0.0,0.52
tango-cs.csv,0.14,0.43,0.58,0.13,0.42,0.01
