,cuberok.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,glas.csv,javagroups.csv,jvcl.csv
cuberok.csv,0.68,0.68,0.21,0.0,0.6,0.33,0.46,0.29
glas.csv,0.53,0.6,0.53,0.6,0.68,0.63,0.61,0.46
gpsmid.csv,0.49,0.81,0.64,0.0,0.82,0.51,0.53,0.4
javagroups.csv,0.5,0.32,0.42,0.49,0.68,0.45,0.69,0.51
jvcl.csv,0.4,0.52,0.19,0.46,0.07,0.17,0.05,0.59
lphant.csv,0.51,0.77,0.55,0.74,0.53,0.64,0.3,0.59
xtreemfs.csv,0.43,0.75,0.67,0.48,0.84,0.42,0.45,0.53
yafdotnet.csv,0.49,0.72,0.7,0.65,0.32,0.39,0.63,0.61
