,cuberok.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,glas.csv,javagroups.csv,jvcl.csv
cuberok.csv,0.68,0.76,0.95,1.0,0.7,0.3,0.53,0.88
glas.csv,0.5,0.55,0.49,0.59,0.71,0.62,0.77,0.44
gpsmid.csv,0.59,0.8,0.69,1.0,0.9,0.76,0.89,0.81
javagroups.csv,0.5,0.27,0.37,0.86,0.67,0.57,0.68,0.56
jvcl.csv,0.36,0.47,0.16,0.41,0.06,0.14,0.04,0.56
lphant.csv,0.5,0.92,0.52,0.73,0.54,0.76,1.0,0.81
xtreemfs.csv,0.91,0.82,0.77,0.82,0.86,0.38,0.77,0.56
yafdotnet.csv,0.45,0.73,0.69,0.68,0.3,0.35,0.87,0.69
