,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.57,0.87,0.51,0.4,0.0,0.97,0.79,0.93,0.95,0.52,0.81,0.89,0.85,0.89,0.97,0.63
amygdala.csv,0.54,0.66,0.64,1.22,0.91,0.72,0.58,0.72,0.66,0.0,0.73,0.82,0.53,0.71,0.74,1.02
cme.csv,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.0
dspace-gsoc.csv,0.9,0.85,0.86,1.3,0.97,0.77,1.0,0.92,0.78,0.96,0.05,0.82,1.03,0.77,0.86,0.43
hydrate.csv,0.85,0.8,0.78,1.01,0.97,0.9,1.01,0.78,0.92,1.0,0.85,0.64,0.94,0.89,0.11,1.01
ivef-sdk.csv,0.61,0.71,0.76,0.0,0.98,0.98,0.81,1.0,0.8,0.55,0.92,1.0,1.09,0.93,0.97,0.59
jmri.csv,0.53,0.06,0.8,1.03,0.93,0.58,0.74,0.52,0.71,0.78,0.6,0.41,0.78,0.94,0.76,0.62
kdenlive.csv,0.03,0.68,0.75,0.57,0.87,0.55,0.67,0.67,0.64,0.7,0.75,0.76,0.47,0.81,0.8,0.65
motu.csv,0.92,0.88,0.59,1.0,0.91,0.77,1.0,0.0,0.77,0.81,0.9,0.88,0.89,0.73,0.56,1.05
plplot.csv,0.59,0.77,0.8,1.32,0.64,0.14,0.59,0.79,0.62,0.85,0.73,0.83,0.79,0.8,0.96,0.67
projectfactory.csv,0.73,0.71,0.68,0.99,0.96,0.92,0.72,0.67,0.05,0.88,0.82,0.55,0.78,0.79,0.65,0.73
runuomondains.csv,0.95,0.87,0.8,1.1,0.89,0.95,1.0,0.8,0.92,1.0,0.94,0.0,0.94,1.0,0.82,1.02
somap.csv,0.97,0.97,0.98,1.0,0.83,0.91,0.98,1.0,0.98,1.0,1.0,1.0,0.17,1.0,1.0,0.9
taverna.csv,0.71,0.8,0.04,0.85,0.57,0.81,0.81,0.99,0.66,0.82,0.7,0.88,0.86,0.69,0.94,0.63
tigermud.csv,1.05,0.86,0.62,0.64,0.56,0.86,0.96,0.64,0.85,0.82,1.01,0.87,0.66,0.29,0.71,0.44
wishmaster.csv,0.76,0.84,0.96,0.91,1.0,0.91,0.14,1.0,0.96,0.97,0.95,1.0,0.99,0.91,0.97,0.23
