,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.68,0.21,0.56,0.75,1.0,0.37,0.27,0.11,0.1,0.64,0.33,0.12,0.27,0.2,0.06,0.24
amygdala.csv,0.66,0.48,0.46,0.1,0.25,0.39,0.38,0.29,0.52,1.0,0.43,0.13,0.72,0.56,0.48,0.0
cme.csv,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0
dspace-gsoc.csv,0.18,0.26,0.23,0.04,0.06,0.31,0.0,0.12,0.35,0.09,0.99,0.13,0.55,0.37,0.27,0.37
hydrate.csv,0.25,0.31,0.32,0.0,0.06,0.17,0.0,0.26,0.14,0.0,0.27,0.24,0.11,0.2,0.96,0.0
ivef-sdk.csv,0.73,0.52,0.47,1.0,0.25,0.35,0.29,0.0,0.57,0.64,0.15,0.0,0.68,0.27,0.06,0.21
jmri.csv,0.63,0.96,0.32,0.63,0.42,0.46,0.32,0.44,0.53,0.62,0.61,0.36,0.38,0.65,0.59,0.24
kdenlive.csv,0.99,0.47,0.33,0.6,0.29,0.47,0.29,0.35,0.57,0.51,0.68,0.17,0.71,0.4,0.51,0.2
motu.csv,0.16,0.21,0.47,0.0,0.16,0.31,0.0,1.0,0.34,0.32,0.22,0.12,0.2,0.43,0.6,0.0
plplot.csv,0.62,0.54,0.32,0.08,0.65,0.9,0.35,0.39,0.51,0.28,0.65,0.25,0.7,0.69,0.73,0.19
projectfactory.csv,0.42,0.42,0.41,0.03,0.28,0.12,0.26,0.33,0.97,0.21,0.3,0.32,0.44,0.51,0.51,0.14
runuomondains.csv,0.1,0.22,0.28,0.0,0.21,0.09,0.0,0.23,0.14,0.0,0.11,1.0,0.33,0.0,0.31,0.0
somap.csv,0.78,0.63,0.5,0.82,0.69,0.43,0.32,0.36,0.64,0.68,0.79,0.21,0.99,0.77,0.78,0.12
taverna.csv,0.46,0.31,0.98,0.25,0.56,0.28,0.2,0.07,0.5,0.29,0.45,0.15,0.24,0.52,0.11,0.24
tigermud.csv,0.58,0.35,0.52,0.52,0.72,0.22,0.07,0.34,0.25,0.3,0.71,0.13,0.53,0.89,0.66,0.3
wishmaster.csv,0.39,0.26,0.07,0.16,0.0,0.15,0.92,0.0,0.09,0.05,0.1,0.0,0.03,0.16,0.06,0.45
