,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.73,0.49,0.61,1.0,1.0,0.24,0.17,0.2,0.67,0.65,0.67,0.11,1.0,0.8,0.5,0.17
amygdala.csv,0.76,0.52,0.38,0.17,0.3,0.6,0.25,0.21,0.51,1.0,0.73,0.09,0.95,0.62,0.62,0.0
cme.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dspace-gsoc.csv,0.78,0.38,0.5,0.07,0.5,0.45,0.0,0.33,0.46,0.29,0.97,0.09,0.85,0.69,0.55,0.27
hydrate.csv,0.69,0.62,0.55,0.0,0.5,1.0,0.0,0.3,0.75,0.0,0.67,0.15,1.0,0.67,0.94,0.0
ivef-sdk.csv,0.71,0.47,0.34,1.0,0.27,0.23,0.18,0.0,0.47,0.62,1.0,0.0,0.87,0.41,1.0,0.12
jmri.csv,0.82,0.99,0.28,0.6,0.37,0.34,0.2,0.32,0.48,0.53,0.73,0.24,0.94,0.58,0.61,0.14
kdenlive.csv,0.99,0.5,0.33,0.84,0.35,0.36,0.22,0.24,0.52,0.53,0.66,0.11,0.98,0.55,0.58,0.11
motu.csv,1.0,0.66,0.46,0.0,0.6,0.45,0.0,1.0,0.53,0.5,0.5,0.12,1.0,0.69,0.88,0.0
plplot.csv,0.72,0.46,0.28,0.12,0.55,0.95,0.24,0.25,0.58,0.42,0.66,0.14,0.91,0.63,0.62,0.11
projectfactory.csv,0.8,0.54,0.36,0.5,0.29,0.17,0.2,0.29,1.0,0.56,0.7,0.24,0.91,0.57,0.86,0.08
runuomondains.csv,0.67,0.49,0.38,0.0,0.36,1.0,0.0,0.23,0.6,0.0,1.0,1.0,0.83,0.0,1.0,0.0
somap.csv,0.64,0.47,0.33,0.69,0.53,0.28,0.19,0.22,0.48,0.52,0.65,0.12,0.99,0.62,0.63,0.07
taverna.csv,0.71,0.49,1.0,0.83,0.71,0.5,0.19,0.06,0.51,0.64,0.85,0.2,1.0,0.65,0.67,0.17
tigermud.csv,0.54,0.35,0.4,0.96,0.6,0.5,0.07,0.27,0.41,0.5,0.61,0.08,0.96,0.85,0.65,0.18
wishmaster.csv,0.7,0.64,0.33,1.0,0.0,0.33,1.0,0.0,0.29,0.5,0.5,0.0,1.0,1.0,0.5,0.29
