,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.74,0.85,0.79,0.69,0.78,0.45,0.98,0.99,1.0,1.0,0.72,0.98,0.87,0.87
crux-framework.csv,0.85,0.6,0.75,0.88,0.71,0.94,0.86,0.8,0.71,0.8,0.68,0.71,0.11,0.91
etherboot.csv,0.97,0.42,1.0,0.97,0.61,0.92,1.0,0.45,0.7,1.0,0.97,1.0,0.54,1.0
freebios.csv,0.86,0.88,0.8,0.79,0.73,0.91,0.31,1.01,0.6,0.86,0.89,0.89,0.7,0.72
gebr.csv,1.0,1.0,0.88,0.85,0.82,0.95,0.99,0.4,0.78,0.95,0.73,0.9,1.0,1.0
gnukeda.csv,0.67,0.54,0.84,0.36,0.78,0.49,0.85,0.65,0.77,0.7,0.77,0.89,0.91,0.87
google-gears.csv,0.52,0.5,0.73,0.65,0.78,0.68,0.96,0.53,0.93,0.55,0.46,0.51,0.75,0.97
gstreamer.csv,0.65,0.94,0.95,0.58,0.8,0.89,0.91,0.57,0.77,0.64,0.65,0.39,0.88,1.0
jnode.csv,0.97,0.73,0.28,0.73,1.0,1.01,0.9,0.93,1.0,0.95,0.89,0.98,0.7,0.93
metacosm.csv,0.72,0.71,0.64,0.67,0.89,0.65,0.93,0.58,0.69,0.57,0.73,0.73,0.45,0.32
openmeetings.csv,0.46,0.19,0.64,0.75,0.73,0.58,0.77,0.58,0.7,0.81,0.7,0.54,0.77,0.65
pgui.csv,0.8,0.87,1.0,0.72,0.76,0.75,0.87,0.57,0.49,0.72,0.56,1.0,0.98,1.0
tradelink.csv,0.74,0.75,0.6,0.65,0.8,0.86,0.73,0.48,0.84,0.37,0.77,0.84,0.6,0.85
wxcrp.csv,0.57,0.94,0.92,0.79,1.0,0.84,0.9,1.0,0.96,0.56,0.68,0.85,0.98,0.95
