,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.29,0.18,0.56,0.33,0.27,0.59,0.02,0.01,0.0,0.0,0.29,0.02,0.33,0.26
crux-framework.csv,0.35,0.5,0.25,0.26,0.32,0.49,0.76,0.23,0.62,0.21,0.38,0.35,1.0,0.11
etherboot.csv,0.03,0.59,0.0,0.03,0.45,0.08,0.0,0.62,0.85,1.0,0.03,0.0,1.0,1.0
freebios.csv,0.55,0.14,0.31,0.56,0.45,0.11,0.78,0.4,0.53,0.53,0.53,0.21,1.0,0.3
gebr.csv,1.0,1.0,0.81,0.87,0.77,1.0,0.9,0.63,0.91,1.0,0.95,0.98,1.0,1.0
gnukeda.csv,0.9,0.55,0.31,0.69,0.41,0.57,0.24,0.38,0.26,0.37,0.86,0.11,0.67,0.93
google-gears.csv,0.74,0.68,0.81,0.36,0.86,0.84,0.57,0.65,0.98,0.74,0.71,0.75,0.67,0.96
gstreamer.csv,0.84,0.77,0.25,0.56,0.73,0.89,0.47,0.46,0.79,0.68,0.73,0.71,1.0,1.0
jnode.csv,0.03,0.36,0.81,0.44,0.0,0.0,0.1,0.44,0.0,0.05,0.16,0.02,0.33,0.07
metacosm.csv,0.29,0.5,0.62,0.36,0.14,0.35,0.08,0.42,0.34,0.63,0.27,0.28,0.67,0.78
openmeetings.csv,0.58,0.91,0.75,0.26,0.77,0.7,0.24,0.44,0.79,0.21,0.38,0.65,0.33,0.7
pgui.csv,0.39,0.95,0.0,0.38,0.59,0.65,0.14,0.68,0.57,0.79,0.58,0.0,1.0,1.0
tradelink.csv,0.26,0.73,0.81,0.41,0.59,0.81,0.59,0.6,0.85,0.74,0.26,0.84,0.67,0.85
wxcrp.csv,0.48,0.77,1.0,0.67,1.0,0.95,0.84,0.99,0.94,0.89,0.56,0.92,0.33,0.81
