,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,0.8,0.83,0.47,0.34,0.42,0.48,0.13,0.14
aime.csv,0.66,0.78,0.25,0.0,0.49,0.23,0.08,0.14
badtrinitycore.csv,0.0,0.06,0.37,0.51,0.24,0.59,0.32,0.31
electric-core.csv,0.71,0.76,0.49,0.26,0.29,0.44,0.23,0.35
geochat.csv,0.57,0.87,0.22,0.03,0.2,0.19,0.05,0.45
mumble.csv,0.71,0.86,0.26,0.11,0.41,0.74,0.11,0.39
olsrd.csv,0.76,0.8,0.37,0.26,0.29,0.55,0.28,0.45
t-2.csv,0.51,0.73,0.26,0.19,0.26,0.49,0.45,0.34
