,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.61,0.73,0.72,0.71,0.6,1.16,0.55,0.46,0.8,0.65,0.63,0.64,0.67,1.26,0.55,0.75,0.65
codepurge.csv,0.63,1.0,0.6,0.77,0.75,0.61,0.77,0.7,0.75,0.51,0.39,0.62,0.84,1.14,0.6,0.79,0.67
crisscross.csv,0.98,0.95,0.39,0.9,0.69,0.98,0.81,1.01,1.02,0.88,0.58,0.94,0.92,0.98,1.0,0.72,0.88
elvishrayrenderer.csv,0.8,0.84,0.77,0.73,0.62,1.13,0.67,0.35,0.48,0.59,0.71,0.82,0.44,1.09,0.4,0.95,0.84
gisgraphy.csv,0.82,1.0,0.73,0.86,0.99,1.01,0.85,0.76,0.82,0.85,0.62,0.8,0.7,1.08,0.84,0.53,0.29
ivataopenportal.csv,0.72,1.0,0.78,0.85,0.39,1.18,0.81,1.02,0.83,0.93,1.0,1.0,0.69,0.97,0.67,0.9,0.92
lite.csv,0.93,1.0,0.96,0.91,0.69,0.47,0.86,0.64,0.73,0.35,1.0,0.62,0.55,1.0,0.76,0.63,1.09
mb-unit.csv,1.0,0.73,0.95,0.53,1.0,0.93,0.85,1.08,0.8,0.67,0.83,0.76,0.65,1.0,1.0,0.89,1.0
nova.csv,0.8,0.34,0.78,0.73,0.78,0.66,0.77,1.12,0.8,0.84,0.87,0.79,0.79,0.85,0.82,0.67,0.79
olex2.csv,0.96,0.65,0.6,0.71,0.99,1.07,0.7,0.7,0.6,0.69,0.81,0.42,0.6,0.98,0.68,0.5,0.97
openwbem.csv,0.52,0.5,0.58,0.68,0.76,0.41,0.64,0.36,0.58,0.74,0.74,0.62,0.8,0.9,0.78,0.41,0.59
stajistics.csv,0.93,1.0,0.99,0.55,0.65,1.0,0.64,1.01,0.75,0.55,0.94,0.96,0.42,1.0,0.95,1.03,0.94
uwom.csv,0.6,1.0,0.86,0.65,0.76,0.69,0.69,1.05,0.92,0.76,0.92,0.99,0.59,0.66,0.79,0.31,0.46
xcmetadataservicestoolkit.csv,0.71,1.0,0.98,0.63,0.82,0.93,0.73,1.01,0.39,0.81,0.89,0.91,0.82,0.97,0.64,0.94,0.99
