,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.93,0.0,1.0,0.98,1.0,0.66,0.76,0.82,0.95,0.99,0.89,0.86,0.8,0.69,0.68,0.97,0.93,0.78,0.81
boost-sandbox.csv,0.63,1.0,0.51,0.54,0.54,0.68,0.92,0.01,0.88,0.74,0.63,0.88,0.63,0.66,0.65,0.99,0.59,0.78,0.65
dspace-gsoc.csv,0.53,0.57,0.72,0.78,0.73,0.61,0.81,0.88,0.71,0.67,0.75,0.7,0.72,1.0,0.0,0.68,0.65,0.52,0.74
enlightenment.csv,0.86,0.5,0.76,0.6,0.81,0.44,0.02,0.7,0.78,0.97,0.69,0.61,0.76,0.84,0.69,0.92,0.56,0.61,0.47
fceugc.csv,0.54,0.76,0.37,0.6,0.55,0.67,0.62,0.84,0.63,0.78,0.0,0.58,0.86,0.82,0.88,0.92,0.59,0.26,0.64
gnukeda.csv,0.68,0.44,0.7,0.67,0.26,0.0,0.57,0.77,0.89,0.91,0.61,0.55,0.76,0.7,0.91,0.56,0.6,0.63,0.51
jaolt.csv,0.53,0.48,0.4,0.59,0.44,0.68,0.65,0.78,0.73,0.9,0.48,0.48,0.0,0.9,0.74,0.65,0.51,0.36,0.52
knowledge.csv,0.95,0.9,0.96,0.98,0.0,0.82,0.91,0.97,1.0,1.0,0.91,0.79,0.97,0.97,1.0,0.99,0.82,0.85,0.97
kowari.csv,0.66,0.9,0.4,0.64,0.65,0.82,0.64,0.79,0.77,0.0,0.64,0.55,0.81,0.77,0.93,0.77,0.79,1.0,0.51
lufa-lib.csv,0.74,0.89,0.86,0.65,0.88,0.72,0.69,0.58,0.77,0.77,0.67,0.74,0.74,0.91,0.78,0.01,0.75,0.81,0.72
maidsafe-dht.csv,0.0,0.98,0.37,0.65,0.69,0.61,0.82,0.8,0.81,0.53,0.65,0.53,0.73,1.0,0.88,0.87,0.64,0.52,0.59
pixel-commandos.csv,0.72,0.88,1.0,0.81,0.79,0.87,0.89,0.92,0.81,0.59,0.67,0.77,0.85,1.0,1.01,0.9,0.85,0.0,0.67
playerstage.csv,0.62,0.56,0.5,0.01,0.4,0.68,0.58,0.8,0.73,0.82,0.49,0.63,0.64,0.7,0.79,0.77,0.74,0.59,0.6
proftp.csv,0.58,0.86,0.35,0.6,0.87,0.67,0.77,0.7,0.73,0.76,0.62,0.0,0.59,1.0,0.84,0.78,0.59,0.6,0.58
tcvp.csv,1.0,0.95,1.02,0.98,1.06,0.98,0.97,0.9,0.89,1.0,0.92,1.0,0.99,0.0,0.97,0.86,1.0,0.77,0.98
theresa.csv,0.93,1.0,0.0,0.95,0.95,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.99,1.0,0.75,0.94
uwom.csv,0.74,0.93,0.76,0.4,0.69,0.97,0.67,0.78,0.77,0.6,0.72,0.9,0.71,0.8,0.85,1.0,0.68,0.66,0.02
xapian.csv,0.66,0.88,0.62,0.57,0.63,0.86,0.81,0.79,0.74,0.81,0.63,0.6,0.53,0.9,0.84,0.53,0.04,0.58,0.76
yaprm.csv,0.66,0.88,0.28,0.69,0.96,0.81,0.8,0.64,0.0,0.71,0.67,0.84,0.63,0.78,0.65,0.96,0.74,0.43,0.69
