,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.6,0.42,0.66,0.52,0.38,0.48,0.49,0.6,0.5,0.6,0.48,0.49,0.42,0.92
emeraldemu.csv,0.41,0.64,0.61,0.7,0.62,0.98,0.41,0.79,0.59,0.92,0.55,0.73,0.91,0.71
frogatto.csv,0.42,0.44,0.58,0.45,0.42,0.47,0.43,0.47,0.4,0.61,0.38,0.49,0.45,0.47
grafx2.csv,0.49,0.49,0.58,0.5,0.48,0.5,0.41,0.56,0.39,0.44,0.45,0.59,0.46,0.43
jahshakafx.csv,0.5,1.0,0.95,0.74,0.98,0.96,0.83,0.0,0.8,0.0,0.8,0.56,0.67,0.9
nassp.csv,0.61,0.61,0.69,0.47,0.52,0.97,0.6,0.36,0.75,0.6,0.78,0.38,0.42,0.9
netatalk.csv,0.55,0.56,0.86,0.65,0.65,0.79,0.93,0.92,0.62,0.34,0.49,0.88,0.71,0.93
open-beos.csv,0.53,0.54,0.8,0.52,0.52,0.58,0.41,0.66,0.67,0.63,0.64,0.61,0.6,0.74
psycle.csv,0.46,0.53,0.59,0.49,0.42,0.45,0.36,0.37,0.38,0.36,0.41,0.46,0.46,0.41
quantlib.csv,0.89,0.75,0.72,0.54,0.62,0.78,0.48,0.38,0.62,0.41,0.47,0.47,0.67,0.96
reaper-ecad.csv,0.68,0.99,0.96,0.91,0.87,0.99,0.51,0.5,0.53,0.5,0.63,0.68,0.86,0.75
sbml.csv,0.46,0.51,0.5,0.46,0.35,0.41,0.38,0.35,0.35,0.44,0.38,0.45,0.46,0.47
unimrcp.csv,0.48,0.94,0.77,0.68,0.8,0.97,0.45,0.64,0.86,0.8,0.62,0.56,0.5,0.94
unladen-swallow.csv,0.85,1.0,0.5,0.67,0.97,0.97,0.95,0.7,0.44,0.84,0.58,0.69,0.62,0.59
