,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.8,0.49,0.58,0.57,0.7,0.61,0.08,0.75,0.56,0.96,0.72,0.68,1.0,0.74
emeraldemu.csv,0.42,0.57,0.54,0.64,0.06,0.77,0.71,0.78,0.64,0.74,0.63,0.64,0.89,0.79
frogatto.csv,0.49,0.47,0.67,0.55,0.57,0.56,0.71,0.91,0.7,0.91,0.54,0.03,0.67,0.77
grafx2.csv,0.52,0.53,0.55,0.54,0.59,0.7,0.64,0.58,0.76,0.0,0.69,0.57,0.5,0.79
jahshakafx.csv,0.0,0.81,0.8,0.79,0.78,0.85,0.81,1.0,0.84,1.0,0.77,0.62,0.93,0.92
nassp.csv,0.66,0.6,0.47,0.63,0.57,0.8,0.65,0.39,0.0,0.78,0.76,0.44,0.44,0.79
netatalk.csv,0.57,0.55,0.59,0.73,0.55,0.69,0.82,0.75,0.61,0.43,0.6,0.81,0.0,0.76
open-beos.csv,0.6,0.51,0.87,0.63,0.49,0.02,0.77,0.74,0.6,0.92,0.68,0.62,0.72,0.63
psycle.csv,0.67,0.81,0.83,0.06,0.73,0.69,0.73,0.54,0.72,0.44,0.63,0.48,0.55,0.81
quantlib.csv,0.82,0.69,0.52,0.64,0.57,0.72,0.67,0.78,0.6,0.46,0.5,0.58,0.74,0.04
reaper-ecad.csv,0.72,0.92,0.04,0.83,0.67,0.83,0.78,1.0,0.41,0.95,0.65,0.66,0.65,1.0
sbml.csv,0.58,0.73,0.75,0.58,0.66,0.6,0.55,0.58,0.78,0.52,0.03,0.56,0.91,0.57
unimrcp.csv,0.5,0.79,0.63,0.76,0.65,0.85,0.58,0.07,0.76,0.79,0.66,0.53,0.93,0.8
unladen-swallow.csv,0.91,0.33,1.0,0.85,0.89,0.89,0.82,0.83,0.6,0.77,0.89,0.78,0.6,0.63
