,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.56,0.8,0.58,0.54,0.78,0.76,0.92,0.67,0.58,0.84,0.59,0.69,1.0,0.29
emeraldemu.csv,0.69,0.49,0.58,0.44,0.94,0.23,0.65,0.3,0.42,0.26,0.42,0.36,0.14,0.25
frogatto.csv,0.66,0.77,0.67,0.47,0.68,0.57,0.49,0.78,0.92,0.84,0.8,0.97,0.71,0.38
grafx2.csv,0.7,0.7,0.71,0.56,0.67,0.63,0.67,0.56,0.83,1.0,0.61,0.69,0.79,0.54
jahshakafx.csv,1.0,0.2,0.21,0.21,0.22,0.15,0.2,0.0,0.17,0.0,0.24,0.39,0.07,0.08
nassp.csv,0.36,0.43,0.54,0.38,0.49,0.21,0.37,0.78,1.0,0.23,0.24,0.61,0.64,0.21
netatalk.csv,0.45,0.49,0.42,0.27,0.47,0.32,0.18,0.26,0.42,0.6,0.43,0.19,1.0,0.25
open-beos.csv,0.49,0.63,0.25,0.4,0.59,0.98,0.67,0.52,0.5,0.63,0.37,0.39,0.57,0.46
psycle.csv,0.86,0.8,0.96,0.99,0.81,0.77,0.8,0.89,0.83,0.77,0.78,0.72,0.71,0.54
quantlib.csv,0.19,0.33,0.62,0.46,0.5,0.29,0.59,0.96,0.5,0.56,0.63,0.64,0.29,0.96
reaper-ecad.csv,0.44,0.08,0.96,0.17,0.36,0.19,0.53,0.0,0.67,0.05,0.38,0.42,0.36,0.0
sbml.csv,0.84,0.82,0.96,0.72,0.86,0.69,0.8,0.81,1.0,0.49,0.99,0.72,0.64,0.67
unimrcp.csv,0.52,0.21,0.38,0.24,0.36,0.15,0.51,0.93,0.25,0.21,0.34,0.47,0.07,0.21
unladen-swallow.csv,0.27,0.67,0.0,0.49,0.11,0.12,0.2,0.37,0.75,0.26,0.53,0.47,0.57,0.54
