,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.49,0.74,0.58,0.56,0.62,0.66,0.93,0.55,0.59,0.2,0.54,0.6,0.0,0.33
emeraldemu.csv,0.7,0.53,0.59,0.48,0.95,0.27,0.57,0.34,0.46,0.3,0.46,0.41,0.17,0.29
frogatto.csv,0.66,0.73,0.6,0.52,0.64,0.58,0.49,0.37,0.65,0.36,0.71,0.98,0.61,0.41
grafx2.csv,0.67,0.67,0.66,0.58,0.63,0.57,0.61,0.57,0.58,1.0,0.57,0.65,0.73,0.49
jahshakafx.csv,1.0,0.24,0.25,0.25,0.26,0.18,0.24,0.0,0.2,0.0,0.28,0.44,0.09,0.1
nassp.csv,0.41,0.48,0.59,0.43,0.53,0.25,0.42,0.76,1.0,0.27,0.28,0.64,0.66,0.25
netatalk.csv,0.5,0.53,0.47,0.31,0.52,0.37,0.21,0.3,0.47,0.64,0.47,0.23,1.0,0.29
open-beos.csv,0.52,0.63,0.28,0.45,0.61,0.98,0.54,0.5,0.53,0.4,0.41,0.44,0.53,0.49
psycle.csv,0.66,0.51,0.5,0.98,0.6,0.62,0.6,0.76,0.61,0.74,0.66,0.69,0.66,0.48
quantlib.csv,0.23,0.38,0.62,0.49,0.53,0.33,0.56,0.57,0.53,0.6,0.64,0.62,0.33,0.97
reaper-ecad.csv,0.46,0.1,0.97,0.2,0.41,0.22,0.49,0.0,0.69,0.06,0.43,0.46,0.41,0.0
sbml.csv,0.71,0.6,0.61,0.66,0.67,0.63,0.71,0.7,0.59,0.54,0.99,0.67,0.4,0.64
unimrcp.csv,0.56,0.25,0.43,0.28,0.41,0.18,0.54,0.94,0.29,0.25,0.39,0.52,0.09,0.25
unladen-swallow.csv,0.29,0.72,0.0,0.44,0.13,0.15,0.24,0.39,0.67,0.3,0.43,0.46,0.57,0.55
