,f1
qtractor.csv,0.68
oppna-program-hsatools.csv,0.34
acegisecurity.csv,0.53
customsagetv.csv,0.14
openxava.csv,0.24
botsnscouts.csv,0.63
google-caja.csv,0.61
freebios.csv,0.53
tktoolkit.csv,0.23
mbse.csv,0.5
gebr.csv,0.58
flexpay.csv,0.29
bnetd.csv,0.58
gabel.csv,0.29
mpgravity.csv,0.51
vars-redux.csv,0.6
jam-daq.csv,0.64
haphazard.csv,0.17
httpcontentparser.csv,0.25
mia.csv,0.18
vrjuggler.csv,0.14
myfaces.csv,0.5
massiv.csv,0.02
wow-qrsk.csv,0.57
bacnet.csv,0.52
gretl.csv,0.61
empserver.csv,0.5
plplot.csv,0.54
mycila.csv,0.24
ogrehg.csv,0.57
alleg.csv,0.59
k3b.csv,0.53
jaxlib.csv,0.1
chaperon.csv,0.0
unbvision.csv,0.56
genecys.csv,0.8
openmalaria.csv,0.61
wishmaster.csv,0.22
bibedt.csv,0.24
yarp0.csv,0.24
tmva.csv,0.59
azureus.csv,0.47
bulmages.csv,0.36
ctrlr.csv,0.11
rodin-b-sharp.csv,0.24
kowari.csv,0.18
ppcboot.csv,0.56
clamav.csv,0.47
motu.csv,0.42
gnupdate.csv,0.52
customwars.csv,0.22
libtorrent.csv,0.68
fceugc.csv,0.45
minig.csv,0.33
calcubetimer.csv,0.22
iaml.csv,0.23
jppf-project.csv,0.21
anaxagora.csv,0.23
ipfire-wall.csv,0.52
sumatrapdf.csv,0.63
gwanted.csv,0.37
cubefs.csv,0.3
moving-pictures.csv,0.38
alsa.csv,0.44
nodal.csv,0.21
monetdb.csv,0.58
xemeiah.csv,0.56
riff-evolve.csv,0.67
owlapi.csv,0.32
ogre.csv,0.21
