,g-score
qtractor.csv,0.64
oppna-program-hsatools.csv,0.25
acegisecurity.csv,0.59
customsagetv.csv,0.1
openxava.csv,0.64
botsnscouts.csv,0.59
google-caja.csv,0.5
freebios.csv,0.53
tktoolkit.csv,0.46
mbse.csv,0.74
gebr.csv,0.46
flexpay.csv,0.37
bnetd.csv,0.53
gabel.csv,0.87
mpgravity.csv,0.73
vars-redux.csv,0.61
jam-daq.csv,0.68
haphazard.csv,0.26
httpcontentparser.csv,0.66
mia.csv,0.37
vrjuggler.csv,0.22
myfaces.csv,0.71
massiv.csv,0.53
wow-qrsk.csv,0.67
bacnet.csv,0.64
gretl.csv,0.5
empserver.csv,0.46
plplot.csv,0.53
mycila.csv,0.24
ogrehg.csv,0.55
alleg.csv,0.55
k3b.csv,0.43
jaxlib.csv,0.57
chaperon.csv,0.0
unbvision.csv,0.61
genecys.csv,0.69
openmalaria.csv,0.62
wishmaster.csv,0.25
bibedt.csv,0.24
yarp0.csv,0.28
tmva.csv,0.49
azureus.csv,0.58
bulmages.csv,0.51
ctrlr.csv,0.12
rodin-b-sharp.csv,0.26
kowari.csv,0.64
ppcboot.csv,0.5
clamav.csv,0.4
motu.csv,0.62
gnupdate.csv,0.71
customwars.csv,0.33
libtorrent.csv,0.58
fceugc.csv,0.47
minig.csv,0.28
calcubetimer.csv,0.15
iaml.csv,0.17
jppf-project.csv,0.15
anaxagora.csv,0.37
ipfire-wall.csv,0.62
sumatrapdf.csv,0.57
gwanted.csv,0.59
cubefs.csv,0.22
moving-pictures.csv,0.33
alsa.csv,0.35
nodal.csv,0.25
monetdb.csv,0.7
xemeiah.csv,0.52
riff-evolve.csv,0.44
owlapi.csv,0.66
ogre.csv,0.0
